original	status	updated_term	extraneous_text	confidence	error
Election sermons Connecticut 1772. rbgenr	PROPOSED	Election sermons	Connecticut 1772. rbgenr	1.0	
Election sermons Connecticut 1776. rbgenr	PROPOSED	Election sermons	Connecticut 1776. rbgenr	1.0	
Election sermons Connecticut 1798. rbgenr	PROPOSED	Election sermons	Connecticut 1798. rbgenr	1.0	
Election sermons Connecticut New Haven 1776. rbgenr	PROPOSED	Election sermons	Connecticut New Haven 1776. rbgenr	1.0	
Election sermons Massachusetts 1689. rbgenr	PROPOSED	Election sermons	Massachusetts 1689. rbgenr	1.0	
Election sermons Massachusetts 1712. rbgenr	PROPOSED	Election sermons	Massachusetts 1712. rbgenr	1.0	
Election sermons Massachusetts 1766. rbgenr	PROPOSED	Election sermons	Massachusetts 1766. rbgenr	1.0	
Election sermons Massachusetts 1774. rbgenr	PROPOSED	Election sermons	Massachusetts 1774. rbgenr	1.0	
Emblem books Belgium Brussels 1683. rbgenr	PROPOSED	Emblem books	Belgium Brussels 1683. rbgenr	1.0	
Emblem books Germany 17th century. rbgenr	PROPOSED	Emblem books	Germany 17th century. rbgenr	1.0	
Emblem books. WaU. rbgenr	PROPOSED	Emblem books	WaU. rbgenr	1.0	
Embossed stamps (Provenance). rbprov MMeT	PROPOSED	Embossed stamps	(Provenance). rbprov MMeT	1.0	
Encyclopedias 1858. rbgenr	PROPOSED	Encyclopedias	1858. rbgenr	1.0	
Engravings England London 19th century. rbgenr	PROPOSED	Engraved books	England London 19th century. rbgenr	1.0	
Ephemera 21st century. rbgenr	PROPOSED	Ephemera	21st century. rbgenr	1.0	
Epistolary fiction United States 19th century. rbgenr	PROPOSED	Epistolary novels	United States 19th century. rbgenr	1.0	
Erotica 17th century. rbgenr	PROPOSED	Erotica	17th century. rbgenr	1.0	
Erotica 20th century. rbgenr	PROPOSED	Erotica	20th century. rbgenr	1.0	
Erotica. rbmscv	PROPOSED	Erotica	rbmscv	1.0	
Errata lists (Publishing) 19th century. rbpub	PROPOSED	Errata lists	(Publishing) 19th century. rbpub	1.0	
Errata lists (Publishing) Germany 16th century. rbpub	PROPOSED	Errata lists	(Publishing) Germany 16th century. rbpub	1.0	
Errata lists (Publishing) Massachusetts Cambridge 19th century. rbpub	PROPOSED	Errata lists	(Publishing) Massachusetts Cambridge 19th century. rbpub	1.0	
Errata lists (Publishing) United States 20th century. rbpub	PROPOSED	Errata lists	(Publishing) United States 20th century. rbpub	1.0	
Errata lists. rbpri	PROPOSED	Errata lists	rbpri	1.0	
Essays France 20th century. rbgenr	PROPOSED	Essays	France 20th century. rbgenr	1.0	
Essays rbgenr.	PROPOSED	Essays	rbgenr.	1.0	
Eulogies. rbgenr	PROPOSED	Eulogies	rbgenr	1.0	
Execution sermons 1674. rbgenr	PROPOSED	Execution sermons	1674. rbgenr	1.0	
Execution sermons 1713. rbgenr	PROPOSED	Execution sermons	1713. rbgenr	1.0	
Execution sermons 1715. rbgenr	PROPOSED	Execution sermons	1715. rbgenr	1.0	
Execution sermons 1768. rbgenr	PROPOSED	Execution sermons	1768. rbgenr	1.0	
Execution sermons 1770. rbgenr	PROPOSED	Execution sermons	1770. rbgenr	1.0	
Execution sermons 1772. rbgenr	PROPOSED	Execution sermons	1772. rbgenr	1.0	
Execution sermons 1773. rbgenr	PROPOSED	Execution sermons	1773. rbgenr	1.0	
Execution sermons 1784. rbgenr	PROPOSED	Execution sermons	1784. rbgenr	1.0	
Execution sermons 1786. rbgenr	PROPOSED	Execution sermons	1786. rbgenr	1.0	
Exhibition catalogs California Orange County Irvine 21st century. rbgenr	PROPOSED	Exhibition catalogs	California Orange County Irvine 21st century. rbgenr	1.0	
Exhibition catalogs California San Francisco 21st century. rbgenr	PROPOSED	Exhibition catalogs	California San Francisco 21st century. rbgenr	1.0	
Exhibition catalogs New York (State) New York 1916. rbgenr	PROPOSED	Exhibition catalogs	New York (State) New York 1916. rbgenr	1.0	
Exploration literature England London 18th century rbgenr	PROPOSED	Exploration literature	England London 18th century rbgenr	1.0	
Exploration literature England London 18th century. rbgenr	PROPOSED	Exploration literature	England London 18th century. rbgenr	1.0	
Fairy tales Switzerland ZuÌˆrich 1989. rbgenr	PROPOSED	Fairy tales	Switzerland ZuÌˆrich 1989. rbgenr	1.0	
Fairy tales. rbgenr	PROPOSED	Fairy tales	rbgenr	1.0	
False imprint dates (Printing) rbpri	PROPOSED	False imprint dates	(Printing) rbpri	1.0	
False imprints (Printing) rbpri	PROPOSED	False imprints	(Printing) rbpri	1.0	
False imprints (Publishing) rbpub	PROPOSED	False imprints	(Publishing) rbpub	1.0	
Fantasy literature. rbmscv https://id.loc.gov/vocabulary/rbmscv/cv01343	PROPOSED	Fantasy literature	rbmscv https://id.loc.gov/vocabulary/rbmscv/cv01343	1.0	
Fast day proclamations 1680 Apr. 15. rbgenr	PROPOSED	Fast-day proclamations	1680 Apr. 15. rbgenr	1.0	
Fast day proclamations 1777 Apr. 3. rbgenr	PROPOSED	Fast-day proclamations	1777 Apr. 3. rbgenr	1.0	
Fast day proclamations 1777 Jan. 29. rbgenr	PROPOSED	Fast-day proclamations	1777 Jan. 29. rbgenr	1.0	
Fast day proclamations 1781 May 3. rbgenr	PROPOSED	Fast-day proclamations	1781 May 3. rbgenr	1.0	
Fast day sermons 1678 Nov. 21. rbgenr	PROPOSED	Fast-day sermons	1678 Nov. 21. rbgenr	1.0	
Fast day sermons 1679 July 3. rbgenr	PROPOSED	Fast-day sermons	1679 July 3. rbgenr	1.0	
Fast day sermons 1703 May 19. rbgenr	PROPOSED	Fast-day sermons	1703 May 19. rbgenr	1.0	
Fast day sermons 1733 Apr. 18. rbgenr	PROPOSED	Fast-day sermons	1733 Apr. 18. rbgenr	1.0	
Fast day sermons 1749 Apr. 27. rbgenr	PROPOSED	Fast-day sermons	1749 Apr. 27. rbgenr	1.0	
Fast day sermons 1775 July 20. rbgenr	PROPOSED	Fast-day sermons	1775 July 20. rbgenr	1.0	
Fast day sermons 1781 Feb. 21. rbgenr	PROPOSED	Fast-day sermons	1781 Feb. 21. rbgenr	1.0	
Fast day sermons 1793 Sept. 20. rbgenr	PROPOSED	Fast-day sermons	1793 Sept. 20. rbgenr	1.0	
Fast day sermons 1794. rbgenr	PROPOSED	Fast-day sermons	1794. rbgenr	1.0	
Fast day sermons 1798 Apr. 5. rbgenr	PROPOSED	Fast-day sermons	1798 Apr. 5. rbgenr	1.0	
Fast day sermons 1798 May 9. rbgenr	PROPOSED	Fast-day sermons	1798 May 9. rbgenr	1.0	
Fast day sermons 1799 Apr. 25. rbgenr	PROPOSED	Fast-day sermons	1799 Apr. 25. rbgenr	1.0	
Fast-day sermons 1854 Apr. 6. rbgenr	PROPOSED	Fast-day sermons	1854 Apr. 6. rbgenr	1.0	
Fiction 1794. rbgenr	PROPOSED	Fiction	1794. rbgenr	1.0	
Fiction 1854. rbgenr	PROPOSED	Fiction	1854. rbgenr	1.0	
Fiction England 19th century. rbgenr	PROPOSED	Fiction	England 19th century. rbgenr	1.0	
Fictitious imprints (Printing) rbpri	PROPOSED	Fictitious imprints	(Printing) rbpri	1.0	
Flax fiber papers. rbmscv	PROPOSED	Flax fiber papers	rbmscv	1.0	
Folio format (Printing) England Bath 18th century. rbpri	PROPOSED	Folio format	(Printing) England Bath 18th century. rbpri	1.0	
Folio format (Printing) England London 17th century. rbbin MMeT rbpri	PROPOSED	Folio format	(Printing) England London 17th century. rbbin MMeT rbpri	1.0	
Folio format (Printing) Switzerland Basel 16th century. rbpri	PROPOSED	Folio format	(Printing) Switzerland Basel 16th century. rbpri	1.0	
Folk tales 1965. rbgenr	PROPOSED	Folk tales	1965. rbgenr	1.0	
Folk tales 1975. rbgenr	PROPOSED	Folk tales	1975. rbgenr	1.0	
Folk tales 1993. rbgenr	PROPOSED	Folk tales	1993. rbgenr	1.0	
Fore-edge paintings. rbmscv MMeT	PROPOSED	Fore-edge paintings	rbmscv MMeT	1.0	
Formularies. rbgenr	PROPOSED	Formularies	rbgenr	1.0	
Fourth of July addresses 1787. rbgenr	PROPOSED	Fourth of July addresses	1787. rbgenr	1.0	
Fourth of July addresses 1792. rbgenr	PROPOSED	Fourth of July addresses	1792. rbgenr	1.0	
Fourth of July addresses 1794. rbgenr	PROPOSED	Fourth of July addresses	1794. rbgenr	1.0	
Fourth of July addresses 1797. rbgenr	PROPOSED	Fourth of July addresses	1797. rbgenr	1.0	
Fourth of July addresses 1798. rbgenr	PROPOSED	Fourth of July addresses	1798. rbgenr	1.0	
Fourth of July addresses 1799. rbgenr	PROPOSED	Fourth of July addresses	1799. rbgenr	1.0	
Fourth of July addresses 1825. rbgenr	PROPOSED	Fourth of July addresses	1825. rbgenr	1.0	
Fourth of July addresses 1844. rbgenr	PROPOSED	Fourth of July addresses	1844. rbgenr	1.0	
Fourth of July addresses 1860. rbgenr	PROPOSED	Fourth of July addresses	1860. rbgenr	1.0	
Fourth of July addresses 1863. rbgenr	PROPOSED	Fourth of July addresses	1863. rbgenr	1.0	
Fourth of July addresses 1864. rbgenr	PROPOSED	Fourth of July addresses	1864. rbgenr	1.0	
Fourth of July addresses 1870. rbgenr	PROPOSED	Fourth of July addresses	1870. rbgenr	1.0	
Fourth of July orations 1788. rbgenr	REVIEW			0.0	term not in rbms_terms.json (use REVIEW)
Fourth of July orations 1796. rbgenr	REVIEW			0.0	term not in rbms_terms.json (use REVIEW)
Fourth of July orations 1799. rbgenr	REVIEW			0.0	term not in rbms_terms.json (use REVIEW)
Fourth of July sermons 1790. rbgenr	PROPOSED	Fourth of July sermons	1790. rbgenr	1.0	
Funeral addresses 1750. rbgenr	PROPOSED	Funeral addresses	1750. rbgenr	1.0	
Funeral addresses 1776. rbgenr	PROPOSED	Funeral addresses	1776. rbgenr	1.0	
Funeral books Italy 17th century. rbgenr	PROPOSED	Funeral books	Italy 17th century. rbgenr	1.0	
Funeral books. rbgenr CtHT	PROPOSED	Funeral books	rbgenr CtHT	1.0	
Funeral sermons 1705. rbgenr	PROPOSED	Funeral sermons	1705. rbgenr	1.0	
Funeral sermons 1708. rbgenr	PROPOSED	Funeral sermons	1708. rbgenr	1.0	
Funeral sermons 1713. rbgenr	PROPOSED	Funeral sermons	1713. rbgenr	1.0	
Funeral sermons 1724. rbgenr	PROPOSED	Funeral sermons	1724. rbgenr	1.0	
Funeral sermons 1727. rbgenr	PROPOSED	Funeral sermons	1727. rbgenr	1.0	
Funeral sermons 1733. rbgenr	PROPOSED	Funeral sermons	1733. rbgenr	1.0	
Funeral sermons 1737. rbgenr	PROPOSED	Funeral sermons	1737. rbgenr	1.0	
Funeral sermons 1739. rbgenr	PROPOSED	Funeral sermons	1739. rbgenr	1.0	
Funeral sermons 1746. rbgenr	PROPOSED	Funeral sermons	1746. rbgenr	1.0	
Funeral sermons 1756. rbgenr	PROPOSED	Funeral sermons	1756. rbgenr	1.0	
Funeral sermons 1767. rbgenr	PROPOSED	Funeral sermons	1767. rbgenr	1.0	
Funeral sermons 1770. rbgenr	PROPOSED	Funeral sermons	1770. rbgenr	1.0	
Funeral sermons 1771. rbgenr	PROPOSED	Funeral sermons	1771. rbgenr	1.0	
Funeral sermons 1776. rbgenr	PROPOSED	Funeral sermons	1776. rbgenr	1.0	
Funeral sermons 1784. rbgenr	PROPOSED	Funeral sermons	1784. rbgenr	1.0	
Funeral sermons 1791. rbgenr	PROPOSED	Funeral sermons	1791. rbgenr	1.0	
Funeral sermons 1793. rbgenr	PROPOSED	Funeral sermons	1793. rbgenr	1.0	
Funeral sermons 1795. rbgenr	PROPOSED	Funeral sermons	1795. rbgenr	1.0	
Galley proofs (Printing) United States 21st century. rbpri	PROPOSED	Galley proofs	(Printing) United States 21st century. rbpri	1.0	
Galley proofs (Publishing) United States 21st century. rbpri	PROPOSED	Galley proofs	(Publishing) United States 21st century. rbpri	1.0	
Games. rbgenr	PROPOSED	Games	rbgenr	1.0	
Gauffered edges (Binding) 18th century. rbbin MMeT	PROPOSED	Gauffered edges	(Binding) 18th century. rbbin MMeT	1.0	
Genealogies England London 17th century. rbgenr	PROPOSED	Genealogies	England London 17th century. rbgenr	1.0	
Gift books 1829. rbgenr	PROPOSED	Gift books	1829. rbgenr	1.0	
Gift books 1847. rbgenr	PROPOSED	Gift books	1847. rbgenr	1.0	
Gift books 1855. rbgenr	PROPOSED	Gift books	1855. rbgenr	1.0	
Gift books 1856. rbgenr	PROPOSED	Gift books	1856. rbgenr	1.0	
Gift books 1882. rbgenr	PROPOSED	Gift books	1882. rbgenr	1.0	
Gift books England London 19th century. rbgenr	PROPOSED	Gift books	England London 19th century. rbgenr	1.0	
Gift books Pennsylvania Philadelphia 19th century. rbgenr	PROPOSED	Gift books	Pennsylvania Philadelphia 19th century. rbgenr	1.0	
Gift books United States. rbgenr	PROPOSED	Gift books	United States. rbgenr	1.0	
Goatskin bindings (Binding) 17th century. rbbin MMeT	PROPOSED	Goatskin bindings	(Binding) 17th century. rbbin MMeT	1.0	
Goatskin bindings (Binding) rbbin	PROPOSED	Goatskin bindings	(Binding) rbbin	1.0	
Gold blocked bindings. rbmscv MMeT	PROPOSED	Gold blocked bindings	rbmscv MMeT	1.0	
Gold stamped bindings (Binding) rbbin MMeT	PROPOSED	Gold stamped bindings	(Binding) rbbin MMeT	1.0	
Gold toold bindings (Bindings) rbbin MMeT	REVIEW			0.0	misspelling/unmatched term ('Gold tooled bindings' expected)
Gold toold bindings (Bindings). rbbin MMeT	REVIEW			0.0	misspelling/unmatched term ('Gold tooled bindings' expected)
Gold tooled bindings (Binding) 16th century. rbbin MMeT	PROPOSED	Gold tooled bindings	(Binding) 16th century. rbbin MMeT	1.0	
Gold tooled bindings (Binding) 17th century. rbbin MMeT	PROPOSED	Gold tooled bindings	(Binding) 17th century. rbbin MMeT	1.0	
Gold tooled bindings (Binding) 19th century. rbbin	PROPOSED	Gold tooled bindings	(Binding) 19th century. rbbin	1.0	
Gold tooled bindings (Binding) 19th century. rbbin MMeT	PROPOSED	Gold tooled bindings	(Binding) 19th century. rbbin MMeT	1.0	
Gold tooled bindings (Binding) England 17th century. rbbin MMeT	PROPOSED	Gold tooled bindings	(Binding) England 17th century. rbbin MMeT	1.0	
Gold tooled bindings (Binding) France 17th century. rbbin MMeT	PROPOSED	Gold tooled bindings	(Binding) France 17th century. rbbin MMeT	1.0	
Gold tooled bindings (Binding) Italy Venice 18th century. rbbin MMeT	PROPOSED	Gold tooled bindings	(Binding) Italy Venice 18th century. rbbin MMeT	1.0	
Gold tooled bindings (Binding) rbbin	PROPOSED	Gold tooled bindings	(Binding) rbbin	1.0	
Gold tooled bindings (Binding) rbprov MMeT	PROPOSED	Gold tooled bindings	(Binding) rbprov MMeT	1.0	
Gold tooled bindings rbmscv	PROPOSED	Gold tooled bindings	rbmscv	1.0	
Gold tooled bindings(Binding) rbbin MMeT	PROPOSED	Gold tooled bindings	(Binding) rbbin MMeT	1.0	
Gold tooled bindings. rbmscv	PROPOSED	Gold tooled bindings	rbmscv	1.0	
Greek style bindings England 16th century. rbbin MMeT	PROPOSED	Greek style bindings	England 16th century. rbbin MMeT	1.0	
HahnemuÌˆhler (paper). rbpap	REVIEW			0.0	not an exact rbms term (diacritics/variant); closest 'Hahnemühle' not in JSON
Half bindings (Bindings) Italy 16th century. rbbin MMeT	PROPOSED	Half bindings	(Bindings) Italy 16th century. rbbin MMeT	1.0	
Half bindings (Bindings) rbbin	PROPOSED	Half bindings	(Bindings) rbbin	1.0	
Half bindings. rbmscv MMeT	PROPOSED	Half bindings	rbmscv MMeT	1.0	
Half-sheet imposition (Printing) rbpri	PROPOSED	Half-sheet imposition	(Printing) rbpri	1.0	
Hamilton (Paper) rbpap	REVIEW			0.0	not an exact rbms term in provided JSON
Handmade paper printings (Printing) New York (N.Y.) 20th century. rbpri	PROPOSED	Handmade paper printings	(Printing) New York (N.Y.) 20th century. rbpri	1.0	
Handmade papers (Paper) England 19th century. rbpap	PROPOSED	Handmade papers	(Paper) England 19th century. rbpap	1.0	
Handmade papers (Paper) United States 21st century. rbpap	PROPOSED	Handmade papers	(Paper) United States 21st century. rbpap	1.0	
Handmade papers. rbpap	PROPOSED	Handmade papers	rbpap	1.0	
Herbal	REVIEW			0.0	ambiguous/partial term not present exactly in rbms_terms.json ('Herbals' exists)
Herbals England London 1815. rbgenr	PROPOSED	Herbals	England London 1815. rbgenr	1.0	
Historical works. rbgenr	PROPOSED	Historical works	rbgenr	1.0	
Illustrated works Connecticut New Haven 21st century. rbgenr	PROPOSED	Illustrated works	Connecticut New Haven 21st century. rbgenr	1.0	
Illustrated works England 19th century. rbgenr	PROPOSED	Illustrated works	England 19th century. rbgenr	1.0	
Illustrated works England 20th century. rbgenr	PROPOSED	Illustrated works	England 20th century. rbgenr	1.0	
Illustrated works England Berkshire 20th century. rbgenr	PROPOSED	Illustrated works	England Berkshire 20th century. rbgenr	1.0	
Ilustrated works. rbgenr	REVIEW			0.0	misspelling/unmatched start term ('Illustrated works' expected)
Imaginary voyages 1988. rbgenr	PROPOSED	Imaginary voyages	1988. rbgenr	1.0	
Inscriptions (Provenance) 17th century. rbprov MMeT	PROPOSED	Inscriptions	(Provenance) 17th century. rbprov MMeT	1.0	
Inscriptions (Provenance) rbbin	PROPOSED	Inscriptions	(Provenance) rbbin	1.0	
Inscriptions (Provenance) rbpap MMeT	PROPOSED	Inscriptions	(Provenance) rbpap MMeT	1.0	
Inscriptions (Provenance) rbprov	PROPOSED	Inscriptions	(Provenance) rbprov	1.0	
Inscriptions (Provenance) rbprov MMeT	PROPOSED	Inscriptions	(Provenance) rbprov MMeT	1.0	
Inscriptions. rbmscv	PROPOSED	Inscriptions	rbmscv	1.0	
Inscriptions. rbmscv MMeT	PROPOSED	Inscriptions	rbmscv MMeT	1.0	
Insertions (Provenance) rbmscv MMeT	PROPOSED	Insertions (Provenance)	rbmscv MMeT	1.0	
Insertions (Provenance) rbprov	PROPOSED	Insertions (Provenance)	rbprov	1.0	
Insertions. rbgenr	PROPOSED	Insertions (Production)	rbgenr	1.0	
Installation sermons 1776. rbgenr	PROPOSED	Installation sermons	1776. rbgenr	1.0	
Integral errata lists (Printing) Germany Frankfurt 1585. rbpri	PROPOSED	Integral errata lists	(Printing) Germany Frankfurt 1585. rbpri	1.0	
Integral errata lists (Printing) Italy 16th century. rbpri	PROPOSED	Integral errata lists	(Printing) Italy 16th century. rbpri	1.0	
Integral errata lists (Printing) Italy 17th century. rbpri	PROPOSED	Integral errata lists	(Printing) Italy 17th century. rbpri	1.0	
Juvenile Literature. rbgenr	PROPOSED	Juvenile literature	rbgenr	1.0	
Juvenile literature 1702. rbgenr	PROPOSED	Juvenile literature	1702. rbgenr	1.0	
Juvenile literature 1728. rbgenr	PROPOSED	Juvenile literature	1728. rbgenr	1.0	
Juvenile literature 1749. rbgenr	PROPOSED	Juvenile literature	1749. rbgenr	1.0	
Juvenile literature 1761. rbgenr	PROPOSED	Juvenile literature	1761. rbgenr	1.0	
Juvenile literature 1767. rbgenr	PROPOSED	Juvenile literature	1767. rbgenr	1.0	
Juvenile literature 1768. rbgenr	PROPOSED	Juvenile literature	1768. rbgenr	1.0	
Juvenile literature 1774. rbgenr	PROPOSED	Juvenile literature	1774. rbgenr	1.0	
Juvenile literature 1776. rbgenr	PROPOSED	Juvenile literature	1776. rbgenr	1.0	
Juvenile literature 1784. rbgenr	PROPOSED	Juvenile literature	1784. rbgenr	1.0	
Juvenile literature 1804. rbgenr	PROPOSED	Juvenile literature	1804. rbgenr	1.0	
Juvenile literature 1807. rbgenr	PROPOSED	Juvenile literature	1807. rbgenr	1.0	
Juvenile literature 1808. rbgenr	PROPOSED	Juvenile literature	1808. rbgenr	1.0	
Juvenile literature 1852. rbgenr	PROPOSED	Juvenile literature	1852. rbgenr	1.0	
Juvenile literature 1872. rbgenr	PROPOSED	Juvenile literature	1872. rbgenr	1.0	
Juvenile literature 1875. rbgenr	PROPOSED	Juvenile literature	1875. rbgenr	1.0	
Juvenile literature 1883. rbgenr	PROPOSED	Juvenile literature	1883. rbgenr	1.0	
Juvenile literature 1890. rbgenr	PROPOSED	Juvenile literature	1890. rbgenr	1.0	
Juvenile literature 1908. rbgenr	PROPOSED	Juvenile literature	1908. rbgenr	1.0	
Juvenile literature 1928. rbgenr	PROPOSED	Juvenile literature	1928. rbgenr	1.0	
Juvenile literature 1933. rbgenr	PROPOSED	Juvenile literature	1933. rbgenr	1.0	
Juvenile literature 1934. rbgenr	PROPOSED	Juvenile literature	1934. rbgenr	1.0	
Juvenile literature 1938. rbgenr	PROPOSED	Juvenile literature	1938. rbgenr	1.0	
Juvenile literature 1951. rbgenr	PROPOSED	Juvenile literature	1951. rbgenr	1.0	
Juvenile literature 1986. rbgenr	PROPOSED	Juvenile literature	1986. rbgenr	1.0	
Juvenile literature 1998. rbgenr	PROPOSED	Juvenile literature	1998. rbgenr	1.0	
Juvenile literature 19th century. rbgenr	PROPOSED	Juvenile literature	19th century. rbgenr	1.0	
Juvenile literature Massachusetts Boston 1907. rbgenr	PROPOSED	Juvenile literature	Massachusetts Boston 1907. rbgenr	1.0	
Juvenile literature New York (State) New York 1943. rbgenr	PROPOSED	Juvenile literature	New York (State) New York 1943. rbgenr	1.0	
Juvenile literature New York (State) New York 1951. rbgenr	PROPOSED	Juvenile literature	New York (State) New York 1951. rbgenr	1.0	
Juvenile literature New York (State) New York 1955. rbgenr	PROPOSED	Juvenile literature	New York (State) New York 1955. rbgenr	1.0	
Juvenile literature New York (State) New York 1958. rbgenr	PROPOSED	Juvenile literature	New York (State) New York 1958. rbgenr	1.0	
Juvenile literature New York (State) New York 1965. rbgenr	PROPOSED	Juvenile literature	New York (State) New York 1965. rbgenr	1.0	
Juvenile literature New York (State) New York 1974. rbgenr	PROPOSED	Juvenile literature	New York (State) New York 1974. rbgenr	1.0	
Juvenile literature New York (State) New York 1981. rbgenr	PROPOSED	Juvenile literature	New York (State) New York 1981. rbgenr	1.0	
Juvenile literature New York (State) New York 1986. rbmscv	PROPOSED	Juvenile literature	New York (State) New York 1986. rbmscv	1.0	
Juvenile literature New York (State) New York 20th century. rbgenr	PROPOSED	Juvenile literature	New York (State) New York 20th century. rbgenr	1.0	
Juvenile literature New York New York 1915. rbgenr	PROPOSED	Juvenile literature	New York New York 1915. rbgenr	1.0	
Juvenile literature New York New York 1944. rbgenr	PROPOSED	Juvenile literature	New York New York 1944. rbgenr	1.0	
Juvenile literature New York New York 1970. rbgenr	PROPOSED	Juvenile literature	New York New York 1970. rbgenr	1.0	
Juvenile literature New York New York 1974. rbgenr	PROPOSED	Juvenile literature	New York New York 1974. rbgenr	1.0	
Juvenile literature New York New York 1975. rbgenr	PROPOSED	Juvenile literature	New York New York 1975. rbgenr	1.0	
Juvenile literature New York New York 1977. rbgenr	PROPOSED	Juvenile literature	New York New York 1977. rbgenr	1.0	
Juvenile literature New York Scarsdale 1980. rbgenr	PROPOSED	Juvenile literature	New York Scarsdale 1980. rbgenr	1.0	
Juvenile literature Pennsylvania Philadelphia 1817. rbgenr	PROPOSED	Juvenile literature	Pennsylvania Philadelphia 1817. rbgenr	1.0	
Juvenile literature Periodicals. rbgenr	PROPOSED	Juvenile literature	Periodicals. rbgenr	1.0	
Juvenile literature Poetry 1707. rbgenr	PROPOSED	Juvenile literature	Poetry 1707. rbgenr	1.0	
Juvenile literature Poetry 1777. rbgenr	PROPOSED	Juvenile literature	Poetry 1777. rbgenr	1.0	
Juvenile literature Poetry 1787. rbgenr	PROPOSED	Juvenile literature	Poetry 1787. rbgenr	1.0	
Juvenile literature Poetry 1800. rbgenr	PROPOSED	Juvenile literature	Poetry 1800. rbgenr	1.0	
Juvenile literature United States 18th century. rbgenr	PROPOSED	Juvenile literature	United States 18th century. rbgenr	1.0	
Juvenile literature United States 19th century. rbgenr	PROPOSED	Juvenile literature	United States 19th century. rbgenr	1.0	
Juvenile literature United States 20th century. rbgenr	PROPOSED	Juvenile literature	United States 20th century. rbgenr	1.0	
Juvenile literature United States. 20th century. rbgenr	PROPOSED	Juvenile literature	United States. 20th century. rbgenr	1.0	
Juvenile literature United States. rbgenr	PROPOSED	Juvenile literature	United States. rbgenr	1.0	
Juvenile literature United States. rbgenr CtHT	PROPOSED	Juvenile literature	United States. rbgenr CtHT	1.0	
Juvenile literature rbgenr	PROPOSED	Juvenile literature	rbgenr	1.0	
Juvenile literature. New York (State) New York 1933. rbgenr	PROPOSED	Juvenile literature	New York (State) New York 1933. rbgenr	1.0	
Juvenile literature. rbmscv https://id.loc.gov/vocabulary/rbmscv/cv00985	PROPOSED	Juvenile literature	rbmscv https://id.loc.gov/vocabulary/rbmscv/cv00985	1.0	
Laboratory notes Italy 17th century. rbgenr	PROPOSED	Laboratory notes	Italy 17th century. rbgenr	1.0	
Leather bindings (Binding) 2014. rbbin	PROPOSED	Leather bindings	(Binding) 2014. rbbin	1.0	
Leather bindings (Binding) rbmscv	PROPOSED	Leather bindings	(Binding) rbmscv	1.0	
Lectures Delaware Wilmington 1800. rbgenr	PROPOSED	Lectures	Delaware Wilmington 1800. rbgenr	1.0	
Lectures Massachusetts Boston 1784. rbgenr	PROPOSED	Lectures	Massachusetts Boston 1784. rbgenr	1.0	
Lectures Massachusetts Cambridge 1755. rbgenr	PROPOSED	Lectures	Massachusetts Cambridge 1755. rbgenr	1.0	
Lectures Massachusetts Cambridge 1762. rbgenr	PROPOSED	Lectures	Massachusetts Cambridge 1762. rbgenr	1.0	
Lectures New York (N.Y.) 1794. rbgenr	PROPOSED	Lectures	New York (N.Y.) 1794. rbgenr	1.0	
Lectures New York (N.Y.) 1800. rbgenr	PROPOSED	Lectures	New York (N.Y.) 1800. rbgenr	1.0	
Lectures Pennsylvania Philadelphia 1791. rbgenr	PROPOSED	Lectures	Pennsylvania Philadelphia 1791. rbgenr	1.0	
Legislative addresses 1764. rbgenr	PROPOSED	Legislative addresses	1764. rbgenr	1.0	
Legislative addresses 1789. rbgenr	PROPOSED	Legislative addresses	1789. rbgenr	1.0	
Legislative addresses Great Britain 1830-1847. rbgenr	PROPOSED	Legislative addresses	Great Britain 1830-1847. rbgenr	1.0	
Legislative addresses Washington (D.C.) 1862. rbgenr	PROPOSED	Legislative addresses	Washington (D.C.) 1862. rbgenr	1.0	
Letters 20th century. rbgenr	PROPOSED	Letters	20th century. rbgenr	1.0	
Letters New York (N.Y.) 19th century. rbgenr	PROPOSED	Letters	New York (N.Y.) 19th century. rbgenr	1.0	
Library catalogs England London 2015. rbgenr	PROPOSED	Library catalogs	England London 2015. rbgenr	1.0	
Library catalogues Pennsylvania Philadelphia. rbgenr	PROPOSED	Library catalogs	Pennsylvania Philadelphia. rbgenr	1.0	
Limitation statement. rbpub	PROPOSED	Limitation statements	rbpub	1.0	
Limitation statements (Publishing) England London 19th century. rbpub UkReU	PROPOSED	Limitation statements	(Publishing) England London 19th century. rbpub UkReU	1.0	
Limitation statements (Publishing) England Oxfordshire 20th century. rbpub UkReU	PROPOSED	Limitation statements	(Publishing) England Oxfordshire 20th century. rbpub UkReU	1.0	
Limitation statements (Publishing) Massachusetts Boston 1908. rbpub	PROPOSED	Limitation statements	(Publishing) Massachusetts Boston 1908. rbpub	1.0	
Limitation statements (Publishing) Massachusetts Boston 20th century. rbpub	PROPOSED	Limitation statements	(Publishing) Massachusetts Boston 20th century. rbpub	1.0	
Limitation statements (Publishing) United States 19th century. rbpub	PROPOSED	Limitation statements	(Publishing) United States 19th century. rbpub	1.0	
Limitation statements (Publishing) United States New York 20th century. rbpub UkReU	PROPOSED	Limitation statements	(Publishing) United States New York 20th century. rbpub UkReU	1.0	
Limitation statements (Publishing) rbpub	PROPOSED	Limitation statements	(Publishing) rbpub	1.0	
