original,status,updated_term,extraneous_text,confidence,error
Almanacs New York (State) 1700. rbgenr,PROPOSED,Almanacs,New York (State) 1700. rbgenr,0.8,
Almanacs New York (State) 1718. rbgenr,PROPOSED,Almanacs,New York (State) 1718. rbgenr,0.95,
Almanacs New York (State) 1719. rbgenr,PROPOSED,Almanacs,New York (State) 1719. rbgenr,0.8,
Almanacs New York (State) 1720. rbgenr,PROPOSED,Almanacs,New York (State) 1720. rbgenr,0.95,
Almanacs New York (State) 1724. rbgenr,PROPOSED,Almanacs,New York (State) 1724. rbgenr,0.8,
Almanacs New York (State) 1727. rbgenr,PROPOSED,Almanacs,New York (State) 1727. rbgenr,0.8,
Almanacs New York (State) 1730. rbgenr,PROPOSED,Almanacs,New York (State) 1730. rbgenr,0.8,
Almanacs New York (State) 1759. rbgenr,PROPOSED,Almanacs,New York (State) 1759. rbgenr,0.8,
Almanacs New York (State) 1766. rbgenr,PROPOSED,Almanacs,New York (State) 1766. rbgenr,0.95,
Almanacs New York (State) 1774. rbgenr,PROPOSED,Almanacs,New York (State) 1774. rbgenr,0.95,
Almanacs New York (State) 1789. rbgenr,PROPOSED,Almanacs,New York (State) 1789. rbgenr,0.0,
Almanacs New York (State) 1793. rbgenr,PROPOSED,Almanacs,New York (State) 1793. rbgenr,0.8,
Almanacs New York (State) 1795. rbgenr,PROPOSED,Almanacs,New York (State) 1795. rbgenr,0.8,
Almanacs New York (State) 1796. rbgenr,PROPOSED,Almanacs,New York (State) 1796. rbgenr,0.8,
Almanacs New York (State) 1797. rbgenr,PROPOSED,Almanacs,New York (State) 1797. rbgenr,0.8,
Almanacs New York (State) 1798. rbgenr,PROPOSED,Almanacs,New York (State) 1798. rbgenr,0.0,
Almanacs New York (State) 1800. rbgenr,PROPOSED,Almanacs,New York (State) 1800. rbgenr,0.0,
Almanacs New York (State) 1801. rbgenr,PROPOSED,Almanacs,New York (State) 1801. rbgenr,0.95,
Almanacs North Carolina 1795. rbgenr,PROPOSED,Almanacs,North Carolina 1795. rbgenr,0.0,
Almanacs Pennsylvania 1687. rbgenr,PROPOSED,Almanacs,Pennsylvania 1687. rbgenr,0.0,
Almanacs Pennsylvania 1700. rbgenr,PROPOSED,Almanacs,Pennsylvania 1700. rbgenr,0.0,
Almanacs Pennsylvania 1717. rbgenr,PROPOSED,Almanacs,Pennsylvania 1717. rbgenr,0.0,
Almanacs Pennsylvania 1721. rbgenr,PROPOSED,Almanacs,Pennsylvania 1721. rbgenr,0.0,
Almanacs Pennsylvania 1744. rbgenr,PROPOSED,Almanacs,Pennsylvania 1744. rbgenr,0.0,
Almanacs Pennsylvania 1753. rbgenr,PROPOSED,Almanacs,Pennsylvania 1753. rbgenr,0.0,
Almanacs Pennsylvania 1755. rbgenr,PROPOSED,Almanacs,Pennsylvania 1755. rbgenr,0.0,
Almanacs Pennsylvania 1774. rbgenr,PROPOSED,Almanacs,Pennsylvania 1774. rbgenr,0.0,
Almanacs Pennsylvania 1782. rbgenr,PROPOSED,Almanacs,Pennsylvania 1782. rbgenr,0.0,
Almanacs Pennsylvania 1783. rbgenr,PROPOSED,Almanacs,Pennsylvania 1783. rbgenr,0.0,
Almanacs Pennsylvania 1793. rbgenr,PROPOSED,Almanacs,Pennsylvania 1793. rbgenr,0.0,
Almanacs Pennsylvania 1794. rbgenr,PROPOSED,Almanacs,Pennsylvania 1794. rbgenr,0.0,
Almanacs Pennsylvania 1795. rbgenr,PROPOSED,Almanacs,Pennsylvania 1795. rbgenr,0.0,
Almanacs Pennsylvania 1796. rbgenr,PROPOSED,Almanacs,Pennsylvania 1796. rbgenr,0.0,
Almanacs Pennsylvania 1797. rbgenr,PROPOSED,Almanacs,Pennsylvania 1797. rbgenr,0.0,
Almanacs Pennsylvania 1798. rbgenr,PROPOSED,Almanacs,Pennsylvania 1798. rbgenr,0.0,
Almanacs Rhode Island 1771. rbgenr,PROPOSED,Almanacs,Rhode Island 1771. rbgenr,0.0,
Almanacs Rhode Island 1781. rbgenr,PROPOSED,Almanacs,Rhode Island 1781. rbgenr,0.0,
Almanacs Rhode Island 1786. rbgenr,PROPOSED,Almanacs,Rhode Island 1786. rbgenr,0.0,
Almanacs Rhode Island 1788. rbgenr,PROPOSED,Almanacs,Rhode Island 1788. rbgenr,0.0,
Almanacs Rhode Island 1790. rbgenr,PROPOSED,Almanacs,Rhode Island 1790. rbgenr,0.0,
Almanacs Rhode Island 1792. rbgenr,PROPOSED,Almanacs,Rhode Island 1792. rbgenr,0.0,
Almanacs Rhode Island 1793. rbgenr,PROPOSED,Almanacs,Rhode Island 1793. rbgenr,0.8,
Almanacs Rhode Island 1794. rbgenr,PROPOSED,Almanacs,Rhode Island 1794. rbgenr,0.0,
Almanacs Rhode Island 1796. rbgenr,PROPOSED,Almanacs,Rhode Island 1796. rbgenr,0.0,
Almanacs Rhode Island 1797. rbgenr,PROPOSED,Almanacs,Rhode Island 1797. rbgenr,0.0,
Almanacs Rhode Island 1800. rbgenr,PROPOSED,Almanacs,Rhode Island 1800. rbgenr,0.95,
Almanacs Rhode Island 1801. rbgenr,PROPOSED,Almanacs,Rhode Island 1801. rbgenr,0.0,
Almanacs South Carolina 1800. rbgenr,PROPOSED,Almanacs,South Carolina 1800. rbgenr,0.0,
Almanacs Vermont 1791. rbgenr,PROPOSED,Almanacs,Vermont 1791. rbgenr,0.0,
Almanacs Virginia 1732. rbgenr,PROPOSED,Almanacs,Virginia 1732. rbgenr,0.0,
Almanacs Virginia 1742. rbgenr,PROPOSED,Almanacs,Virginia 1742. rbgenr,0.0,
Almanacs Virginia 1765. rbgenr,PROPOSED,Almanacs,Virginia 1765. rbgenr,0.0,
Almanacs Virginia 1768. rbgenr,PROPOSED,Almanacs,Virginia 1768. rbgenr,0.0,
Almanacs Virginia 1779. rbgenr,PROPOSED,Almanacs,Virginia 1779. rbgenr,0.0,
Almanacs Virginia 1783. rbgenr,PROPOSED,Almanacs,Virginia 1783. rbgenr,0.0,
Almanacs Virginia 1784. rbgenr,PROPOSED,Almanacs,Virginia 1784. rbgenr,0.95,
Almanacs Virginia 1791. rbgenr,PROPOSED,Almanacs,Virginia 1791. rbgenr,0.0,
Almanacs Virginia 1793. rbgenr,PROPOSED,Almanacs,Virginia 1793. rbgenr,0.0,
Almanacs Virginia 1795. rbgenr,PROPOSED,Almanacs,Virginia 1795. rbgenr,0.0,
Almanacs Virginia 1796. rbgenr,PROPOSED,Almanacs,Virginia 1796. rbgenr,0.0,
Almanacs Virginia 1798. rbgenr,PROPOSED,Almanacs,Virginia 1798. rbgenr,0.0,
Almanacs. rbgenr,PROPOSED,Almanacs,. rbgenr,0.0,
Alphabet books 1785. rbgenr,PROPOSED,Alphabet books,1785. rbgenr,0.95,
Alphabet books 1785. rbmscv,PROPOSED,Alphabet books,1785. rbmscv,0.95,
Alphabet books 1788. rbgenr,PROPOSED,Alphabet books,1788. rbgenr,0.95,
Alphabet books 1788. rbmscv,PROPOSED,Alphabet books,1788. rbmscv,0.95,
Alphabet books 1794. rbgenr,PROPOSED,Alphabet books,1794. rbgenr,0.85,
Alphabet books 1944. rbgenr,PROPOSED,Alphabet books,1944. rbgenr,0.85,
Alphabet books 1972. rbgenr,PROPOSED,Alphabet books,1972. rbgenr,0.85,
Alphabet books 1973. rbgenr,PROPOSED,Alphabet books,1973. rbgenr,0.85,
Alphabet books 1974. rbgenr,PROPOSED,Alphabet books,1974. rbgenr,0.85,
Alphabet books 1986. rbgenr,PROPOSED,Alphabet books,1986. rbgenr,0.0,
Alphabet books 1987. rbgenr,PROPOSED,Alphabet books,1987. rbgenr,0.0,
Alphabet books 1989. rbgenr,PROPOSED,Alphabet books,1989. rbgenr,0.0,
Alphabet books 1990. rbgenr,PROPOSED,Alphabet books,1990. rbgenr,0.85,
Alphabet books 1995. rbgenr,PROPOSED,Alphabet books,1995. rbgenr,0.8,
Alphabet books 2008. rbgenr,PROPOSED,Alphabet books,2008. rbgenr,1.0,
Alphabet books Massachusetts Boston 2004. rbgenr,PROPOSED,Alphabet books,Massachusetts Boston 2004. rbgenr,1.0,
Alphabet books New York (State) New York 1974. rbgenr,PROPOSED,Alphabet books,New York (State) New York 1974. rbgenr,0.8,
Alphabet books. rbgenr,PROPOSED,Alphabet books,. rbgenr,1.0,
Alphabet books. rbmscv,PROPOSED,Alphabet books,. rbmscv,1.0,
Alphabet rhymes 1973. rbgenr,PROPOSED,Alphabet rhymes,1973. rbgenr,0.85,
Alphabet rhymes Massachusetts Boston 1987. rbgenr,PROPOSED,Alphabet rhymes,Massachusetts Boston 1987. rbgenr,0.0,
Alphabets (Primers) 1787. rbgenr,REVIEW,,aat lcgft rbpap,0.0,
Alphabets (Primers) 1800. rbgenr,REVIEW,,aat lcgft rbpap,0.0,
Alum tawed thongs (Binding) rbbin,PROPOSED,Alum tawed thongs (Bindings),(rbbin),0.85,
Anatomical atlases rbgenr,PROPOSED,Anatomical atlases,rbgenr,0.95,
Anatomical atlases. rbgenr,PROPOSED,Anatomical atlases,rbgenr,0.95,
Anniversary sermons 1775. rbgenr,PROPOSED,Anniversary sermons,1775. rbgenr,0.9,
Anniversary sermons 1778. rbgenr,PROPOSED,Anniversary sermons,1778. rbgenr,0.95,
Annotations (Provenance) 17th century. rbprov MMeT,PROPOSED,Annotations,rbprov MMeT,0.95,
Annotations (Provenance) 18th century. rbprov MMeT,PROPOSED,Annotations,Provenance 18th century. rbprov MMeT,0.95,
Annotations (Provenance) 20th century. rbprov MMeT,PROPOSED,Annotations,Provenance 20th century. rbprov MMeT,0.95,
Annotations (Provenance) rbprov,PROPOSED,Annotations,rbprov aat lcgft,0.8,
Annotations (Provenance) rbprov MMeT,PROPOSED,Annotations,(Provenance) rbprov MMeT,0.8,
Annotations (Provenance). rbprov,PROPOSED,Annotations,rbprov,0.0,
Annotations (Provenance). rbprov MMeT,PROPOSED,Annotations,rbprov MMeT,0.95,
Annotations 21st century. rbgenr,PROPOSED,Annotations,21st century. rbgenr,0.8,
Annotations. rbmscv,PROPOSED,Annotations,rbmscv,0.95,
Annotations. rbmscv MMeT,PROPOSED,Annotations,rbmscv MMeT,0.95,
Annual reports. rbgenr,PROPOSED,Annual reports,. rbgenr,0.0,
Anthologies California Los Angeles 20th century. rbgenr,PROPOSED,Anthologies,California Los Angeles 20th century. rbgenr,1.0,
Anthologies England 17th century. rbgenr,PROPOSED,Anthologies,England 17th century. rbgenr,0.0,
Anthologies England London 1965. rbgenr,PROPOSED,Anthologies,England London 1965. rbgenr,0.0,
