655 - Local Param 04,id,original,status,updated_term,extraneous_text,confidence,error
Artists' books Minnesota 2011. rbgenr,444,Artists' books Minnesota 2011. rbgenr,,Artists' books,"Minnesota 2011, rbgenr",0.88,
Artists' books Minnesota Saint Paul 2018. rbgenr,445,Artists' books Minnesota Saint Paul 2018. rbgenr,,Artists' books,"Minnesota Saint Paul 2018, rbgenr",0.88,
Artists' books Minnesota St. Paul 2018. rbgenr,446,Artists' books Minnesota St. Paul 2018. rbgenr,,Artists' books,"Minnesota St. Paul 2018, rbgenr",0.88,
Artists' books Mississippi Starkville 2009. rbgenr,447,Artists' books Mississippi Starkville 2009. rbgenr,,Artists' books,"Mississippi Starkville 2009, rbgenr",0.88,
Artists' books Netherlands 2020. rbgenr,448,Artists' books Netherlands 2020. rbgenr,,Artists' books,"Netherlands 2020, rbgenr",0.88,
Artists' books Netherlands 20th century. rbgenr,449,Artists' books Netherlands 20th century. rbgenr,,Artists' books,"Netherlands 20th century, rbgenr",0.88,
Artists' books Netherlands 21st century. rbgenr,450,Artists' books Netherlands 21st century. rbgenr,,Artists' books,"Netherlands 21st century, rbgenr",0.88,
Artists' books Netherlands Amsterdam 2016. rbgenr,451,Artists' books Netherlands Amsterdam 2016. rbgenr,,Artists' books,"Netherlands Amsterdam 2016, rbgenr",0.88,
Artists' books Nevada 2013. rbgenr,452,Artists' books Nevada 2013. rbgenr,,Artists' books,"Nevada 2013, rbgenr",0.88,
Artists' books Nevada Reno 2016. rbgenr,453,Artists' books Nevada Reno 2016. rbgenr,,Artists' books,"Nevada Reno 2016, rbgenr",0.88,
Artists' books Nevada Reno. rbgenr,454,Artists' books Nevada Reno. rbgenr,,Artists' books,"Nevada Reno, rbgenr",0.88,
Artists' books New Hampshire 2012. rbgenr,455,Artists' books New Hampshire 2012. rbgenr,,Artists' books,"New Hampshire 2012, rbgenr",0.88,
Artists' books New Hampshire 21st century. rbgenr,456,Artists' books New Hampshire 21st century. rbgenr,,Artists' books,"New Hampshire 21st century, rbgenr",0.88,
Artists' books New Jersey 21st century. rbgenr,457,Artists' books New Jersey 21st century. rbgenr,,Artists' books,"New Jersey 21st century, rbgenr",0.88,
Artists' books New Jersey Plainsboro 2004. rbgenr,458,Artists' books New Jersey Plainsboro 2004. rbgenr,,Artists' books,"New Jersey Plainsboro 2004, rbgenr",0.88,
Artists' books New Mexico Santa Fe. rbgenr,459,Artists' books New Mexico Santa Fe. rbgenr,,Artists' books,"New Mexico Santa Fe, rbgenr",0.88,
Artists' books New York (N.Y.) 1990. rbgenr,460,Artists' books New York (N.Y.) 1990. rbgenr,,Artists' books,"New York (N.Y.) 1990, rbgenr",0.88,
Artists' books New York (New York State) Brooklyn 2010. rbgenr,461,Artists' books New York (New York State) Brooklyn 2010. rbgenr,,Artists' books,"New York (State) Brooklyn 2010, rbgenr",0.88,
Artists' books New York (State) 1979. rbgenr,462,Artists' books New York (State) 1979. rbgenr,,Artists' books,"New York (State) 1979, rbgenr",0.88,
Artists' books New York (State) 1983. rbgenr,463,Artists' books New York (State) 1983. rbgenr,,Artists' books,"New York (State) 1983, rbgenr",0.88,
Artists' books New York (State) 1991. rbgenr,464,Artists' books New York (State) 1991. rbgenr,,Artists' books,"New York (State) 1991, rbgenr",0.88,
Artists' books New York (State) 1993. rbgenr,465,Artists' books New York (State) 1993. rbgenr,,Artists' books,"New York (State) 1993, rbgenr",0.88,
Artists' books New York (State) 1997. rbgenr,466,Artists' books New York (State) 1997. rbgenr,,Artists' books,"New York (State) 1997, rbgenr",0.88,
Artists' books New York (State) 1999. rbgenr,467,Artists' books New York (State) 1999. rbgenr,,Artists' books,"New York (State) 1999, rbgenr",0.88,
Artists' books New York (State) 2017. rbgenr,468,Artists' books New York (State) 2017. rbgenr,,Artists' books,"New York (State) 2017, rbgenr",0.88,
Artists' books New York (State) 2018. rbgenr,469,Artists' books New York (State) 2018. rbgenr,,Artists' books,"New York (State) 2018, rbgenr",0.88,
Artists' books New York (State) 2019. rbgenr,470,Artists' books New York (State) 2019. rbgenr,,Artists' books,"New York (State) 2019, rbgenr",0.88,
Artists' books New York (State) 2020. rbgenr,471,Artists' books New York (State) 2020. rbgenr,,Artists' books,"New York (State) 2020, rbgenr",0.88,
Artists' books New York (State) 2020-2029. rbgenr,472,Artists' books New York (State) 2020-2029. rbgenr,,Artists' books,"New York (State) 2020-2029, rbgenr",0.88,
Artists' books New York (State) 2021. rbgenr,473,Artists' books New York (State) 2021. rbgenr,,Artists' books,"New York (State) 2021, rbgenr",0.88,
Artists' books New York (State) 20th century. rbgenr,474,Artists' books New York (State) 20th century. rbgenr,,Artists' books,"New York (State) 20th century, rbgenr",0.88,
Artists' books New York (State) 21st century rbgenr,475,Artists' books New York (State) 21st century rbgenr,,Artists' books,"New York (State) 21st century, rbgenr",0.88,
Artists' books New York (State) 21st century. rbgenr,476,Artists' books New York (State) 21st century. rbgenr,,Artists' books,"New York (State) 21st century, rbgenr",0.88,
Artists' books New York (State) Brooklyn 1979. rbgenr,477,Artists' books New York (State) Brooklyn 1979. rbgenr,,Artists' books,"New York (State) Brooklyn 1979, rbgenr",0.88,
Artists' books New York (State) Brooklyn 2010. rbgenr,478,Artists' books New York (State) Brooklyn 2010. rbgenr,,Artists' books,"New York (State) Brooklyn 2010, rbgenr",0.88,
Artists' books New York (State) Brooklyn 2013. rbgenr,,,,,,,
Artist's books New York (State) New Paltz 2010. rbgenr,479,Artist's books New York (State) New Paltz 2010. rbgenr,,Artists' books,"New York (State) New Paltz 2010, rbgenr",0.75,minor variant (Artist's -> Artists')
Artists' books New York (State) New York 1933. rbgenr,480,Artists' books New York (State) New York 1933. rbgenr,,Artists' books,"New York (State) New York 1933, rbgenr",0.88,
Artists' books New York (State) New York 1969. rbgenr,481,Artists' books New York (State) New York 1969. rbgenr,,Artists' books,"New York (State) New York 1969, rbgenr",0.88,
Artists' books New York (State) New York 1977. rbgenr,482,Artists' books New York (State) New York 1977. rbgenr,,Artists' books,"New York (State) New York 1977, rbgenr",0.88,
Artists' books New York (State) New York 1988. rbgenr,483,Artists' books New York (State) New York 1988. rbgenr,,Artists' books,"New York (State) New York 1988, rbgenr",0.88,
Artists' books New York (State) New York 1995. rbgenr,484,Artists' books New York (State) New York 1995. rbgenr,,Artists' books,"New York (State) New York 1995, rbgenr",0.88,
Artists' books New York (State) New York 2001. rbgenr,485,Artists' books New York (State) New York 2001. rbgenr,,Artists' books,"New York (State) New York 2001, rbgenr",0.88,
Artists' books New York (State) New York 2010. rbgenr,486,Artists' books New York (State) New York 2010. rbgenr,,Artists' books,"New York (State) New York 2010, rbgenr",0.88,
Artists' books New York (State) New York 2011. rbgenr,487,Artists' books New York (State) New York 2011. rbgenr,,Artists' books,"New York (State) New York 2011, rbgenr",0.88,
Artists' books New York (State) New York 2013. rbgenr,488,Artists' books New York (State) New York 2013. rbgenr,,Artists' books,"New York (State) New York 2013, rbgenr",0.88,
Artists' books New York (State) New York 2015. rbgenr,489,Artists' books New York (State) New York 2015. rbgenr,,Artists' books,"New York (State) New York 2015, rbgenr",0.88,
Artists' books New York (State) New York 2016. rbgenr,490,Artists' books New York (State) New York 2016. rbgenr,,Artists' books,"New York (State) New York 2016, rbgenr",0.88,
Artists' books New York (State) New York 2017. rbgenr,491,Artists' books New York (State) New York 2017. rbgenr,,Artists' books,"New York (State) New York 2017, rbgenr",0.88,
Artists' books New York (State) New York 2018. rbgenr,492,Artists' books New York (State) New York 2018. rbgenr,,Artists' books,"New York (State) New York 2018, rbgenr",0.88,
Artists' books New York (State) New York 20th century. rbgenr,493,Artists' books New York (State) New York 20th century. rbgenr,,Artists' books,"New York (State) New York 20th century, rbgenr",0.88,
Artists' books New York (State) New York 21s century. rbgenr,494,Artists' books New York (State) New York 21s century. rbgenr,,Artists' books,"New York (State) New York 21s century, rbgenr",0.6,typo in original (21s -> 21st)
Artists' books New York (state) New York 21st century rbgenr,495,Artists' books New York (state) New York 21st century rbgenr,,Artists' books,"New York (State) New York 21st century, rbgenr",0.88,
Artists' books New York (State) New York 21st century. rbgenr,496,Artists' books New York (State) New York 21st century. rbgenr,,Artists' books,"New York (State) New York 21st century, rbgenr",0.88,
Artists books New York (State) New York. rbgenr,497,Artists books New York (State) New York. rbgenr,,Artists' books,"New York (State) New York, rbgenr",0.75,minor variant (Artists books -> Artists' books)
Artists' books New York (State) New York. rbgenr,498,Artists' books New York (State) New York. rbgenr,,Artists' books,"New York (State) New York, rbgenr",0.88,
Artists' books New York (State) Purchase 1995. rbgenr,,,,,,,
Artists' books New York (State) rbgenr,499,Artists' books New York (State) rbgenr,,Artists' books,"New York (State), rbgenr",0.88,
Artists' books New York (State) Rhinebeck 1986. rbgenr,500,Artists' books New York (State) Rhinebeck 1986. rbgenr,,Artists' books,"New York (State) Rhinebeck 1986, rbgenr",0.88,
Artists' books New York (State) Rochester 1991. rbgenr,,,,,,,
Artists' books New York (State) Rosendale 2013. rbgenr,,,,,,,
Artists' books New York (State) Rosendale 2018. rbgenr,,,,,,,
Artists' books New York (State) Rosendale 2019. rbgenr,,,,,,,
Artists' books New York (State) Rosendale 2021. rbgenr,,,,,,,
Artists' books New York (State) Rosendale 2021. rbmscv,,,,,,,
Artists' books New York (State) Rosendale 21st century. rbgenr,,,,,,,
Artists' books New York (State) Rosendale. rbgenr,,,,,,,
Artists' books New York (State). rbgenr,,,,,,,
Artists' books New York 1986. rbgenr,,,,,,,
Artists' books New York 2016. rbgenr,,,,,,,
Artists' books New York 21st century. rbgenr,,,,,,,
Artists' books New York Brooklyn 2021. rbgenr,,,,,,,
Artists' books New York Brooklyn 2022. rbgenr,,,,,,,
Artists' books New York New Rochelle 1902. rbgenr,,,,,,,
Artists' books New York New York. rbgenr,,,,,,,
Artists' books New York Rhinebeck 1999. rbgenr,,,,,,,
Artists' books New York Rochester 2010. rbgenr,502,Artists' books New York Rochester 2010. rbgenr,,Artists' books,"New York Rochester 2010, rbgenr",0.88,
Artists' books New York Rochester. rbgenr,503,Artists' books New York Rochester. rbgenr,,Artists' books,"New York Rochester, rbgenr",0.88,
Artists' books Nicaragua 21st century. rbgenr,504,Artists' books Nicaragua 21st century. rbgenr,,Artists' books,"Nicaragua 21st century, rbgenr",0.88,
Artists' books North Carolina 2019. rbgenr,505,Artists' books North Carolina 2019. rbgenr,,Artists' books,"North Carolina 2019, rbgenr",0.88,
Artists' books North Carolina Boone 2015. rbgenr,506,Artists' books North Carolina Boone 2015. rbgenr,,Artists' books,"North Carolina Boone 2015, rbgenr",0.88,
Artists' books North Carolina. rbgenr,507,Artists' books North Carolina. rbgenr,,Artists' books,"North Carolina, rbgenr",0.88,
Artists' books Nova Scotia Halifax 1975. rbgenr,508,Artists' books Nova Scotia Halifax 1975. rbgenr,,Artists' books,"Nova Scotia Halifax 1975, rbgenr",0.88,
Artists' books Ohio. rbgenr,509,Artists' books Ohio. rbgenr,,Artists' books,"Ohio, rbgenr",0.88,
Artists' books Ontario Toronto 1973. rbgenr,510,Artists' books Ontario Toronto 1973. rbgenr,,Artists' books,"Ontario Toronto 1973, rbgenr",0.88,
Artists' books Oregon 21st century. rbgenr,511,Artists' books Oregon 21st century. rbgenr,,Artists' books,"Oregon 21st century, rbgenr",0.88,
Artists' books Oregon Portland 2013. rbgenr,512,Artists' books Oregon Portland 2013. rbgenr,,Artists' books,"Oregon Portland 2013, rbgenr",0.88,
Artists' books Oregon Portland 2016. rbgenr,513,Artists' books Oregon Portland 2016. rbgenr,,Artists' books,"Oregon Portland 2016, rbgenr",0.88,
Artists' books Pennsylvania 2009. rbgenr,514,Artists' books Pennsylvania 2009. rbgenr,,Artists' books,"Pennsylvania 2009, rbgenr",0.88,
Artists' books Pennsylvania Philadelphia 2001. rbgenr,515,Artists' books Pennsylvania Philadelphia 2001. rbgenr,,Artists' books,"Pennsylvania Philadelphia 2001, rbgenr",0.88,
Artists' books Pennsylvania Philadelphia 2020. rbgenr,516,Artists' books Pennsylvania Philadelphia 2020. rbgenr,,Artists' books,"Pennsylvania Philadelphia 2020, rbgenr",0.88,
Artists' books Pennsylvania Philadelphia. rbgenr,517,Artists' books Pennsylvania Philadelphia. rbgenr,,Artists' books,"Pennsylvania Philadelphia, rbgenr",0.88,
Artists' books rbgenr,518,Artists' books rbgenr,,Artists' books,rbgenr,0.9,
Artists' books rbmscv,519,Artists' books rbmscv,,Artists' books,rbmscv,0.95,
Artists' books Rhode Island Providence. rbgenr,520,Artists' books Rhode Island Providence. rbgenr,,Artists' books,"Rhode Island Providence, rbgenr",0.88,
Artists' books Saskatchewan 2012. rbgenr,521,Artists' books Saskatchewan 2012. rbgenr,,Artists' books,"Saskatchewan 2012, rbgenr",0.88,
Artists' books Spain 21st century. rbgenr,522,Artists' books Spain 21st century. rbgenr,,Artists' books,"Spain 21st century, rbgenr",0.88,
Artists' books Spain Barcelona 2011. rbgenr,523,Artists' books Spain Barcelona 2011. rbgenr,,Artists' books,"Spain Barcelona 2011, rbgenr",0.88,
Artists' books Switzerland 20th century. rbgenr,524,Artists' books Switzerland 20th century. rbgenr,,Artists' books,"Switzerland 20th century, rbgenr",0.88,
Artists' books Tennessee Maryville 2016. rbgenr,525,Artists' books Tennessee Maryville 2016. rbgenr,,Artists' books,"Tennessee Maryville 2016, rbgenr",0.88,
Artists' books Texas Houston 2003. rbgenr,526,Artists' books Texas Houston 2003. rbgenr,,Artists' books,"Texas Houston 2003, rbgenr",0.88,
Artists' books Texas San Antonio 2015. rbgenr,527,Artists' books Texas San Antonio 2015. rbgenr,,Artists' books,"Texas San Antonio 2015, rbgenr",0.88,
Artists' books Texas San Antonio 21st century. rbgenr,528,Artists' books Texas San Antonio 21st century. rbgenr,,Artists' books,"Texas San Antonio 21st century, rbgenr",0.88,
Artists' books United States 1972. rbgenr,529,Artists' books United States 1972. rbgenr,,Artists' books,"United States 1972, rbgenr",0.88,
Artists' books United States 2005. rbgenr,530,Artists' books United States 2005. rbgenr,,Artists' books,"United States 2005, rbgenr",0.88,
Artists' books United States 2008. rbgenr,531,Artists' books United States 2008. rbgenr,,Artists' books,"United States 2008, rbgenr",0.88,
Artists' books United States 2009. rbgenr,532,Artists' books United States 2009. rbgenr,,Artists' books,"United States 2009, rbgenr",0.88,
Artists' books United States 2012. rbgenr,533,Artists' books United States 2012. rbgenr,,Artists' books,"United States 2012, rbgenr",0.88,
Artists' books United States 2014. rbgenr,534,Artists' books United States 2014. rbgenr,,Artists' books,"United States 2014, rbgenr",0.88,
Artists' books United States 2021 rbgenr,535,Artists' books United States 2021 rbgenr,,Artists' books,"United States 2021, rbgenr",0.88,
Artists' books United States 2023. rbgenr,536,Artists' books United States 2023. rbgenr,,Artists' books,"United States 2023, rbgenr",0.88,
Artists' books United States 20th century. rbgenr,537,Artists' books United States 20th century. rbgenr,,Artists' books,"United States 20th century, rbgenr",0.88,
Artists' books United States 21st century. rbgenr,538,Artists' books United States 21st century. rbgenr,,Artists' books,"United States 21st century, rbgenr",0.88,
Artists' books United States California 21st century. rbgenr,539,Artists' books United States California 21st century. rbgenr,,Artists' books,"United States California 21st century, rbgenr",0.88,
Artists' books United States Georgia 21st century. rbgenr,540,Artists' books United States Georgia 21st century. rbgenr,,Artists' books,"United States Georgia 21st century, rbgenr",0.88,
Artists' books United States New York (State) New York 2007. rbgenr,541,Artists' books United States New York (State) New York 2007. rbgenr,,Artists' books,"United States New York (State) New York 2007, rbgenr",0.88,
Artists' books United States. rbgenr,542,Artists' books United States. rbgenr,,Artists' books,"United States, rbgenr",0.88,
Artists' books United States. rbgenr CtHT,,,,,,,
Artists' books United States. rbmscv,,,,,,,
Artists' books Utah Salt Lake City 2016. rbgenr,545,Artists' books Utah Salt Lake City 2016. rbgenr,,Artists' books,"Utah Salt Lake City 2016, rbgenr",0.88,
Artists' books Venezuela Amazonas. rbgenr,546,Artists' books Venezuela Amazonas. rbgenr,,Artists' books,"Venezuela Amazonas, rbgenr",0.88,
Artists' books Vermont 20th century. rbgenr,547,Artists' books Vermont 20th century. rbgenr,,Artists' books,"Vermont 20th century, rbgenr",0.88,
Artists' books Vermont 21st century. rbgenr,548,Artists' books Vermont 21st century. rbgenr,,Artists' books,"Vermont 21st century, rbgenr",0.88,
Artists' books Vermont Newark 2007. rbgenr,549,Artists' books Vermont Newark 2007. rbgenr,,Artists' books,"Vermont Newark 2007, rbgenr",0.88,
Artists' books Vermont Newark. rbgenr,550,Artists' books Vermont Newark. rbgenr,,Artists' books,"Vermont Newark, rbgenr",0.88,
Artists' books Virginia Charlottesville 2000. rbgenr,551,Artists' books Virginia Charlottesville 2000. rbgenr,,Artists' books,"Virginia Charlottesville 2000, rbgenr",0.88,
Artists' books Virginia Farmville. rbgenr,552,Artists' books Virginia Farmville. rbgenr,,Artists' books,"Virginia Farmville, rbgenr",0.88,
Artists' books Virginia Richmond 1993. rbgenr,553,Artists' books Virginia Richmond 1993. rbgenr,,Artists' books,"Virginia Richmond 1993, rbgenr",0.88,
Artists' books Washington (D.C.) 21st century rbgenr,554,Artists' books Washington (D.C.) 21st century rbgenr,,Artists' books,"Washington (D.C.) 21st century, rbgenr",0.88,
Artists' books Washington (State) 20th century. rbgenr,555,Artists' books Washington (State) 20th century. rbgenr,,Artists' books,"Washington (State) 20th century, rbgenr",0.88,
Artists' books Washington (State) 21st century. rbgenr,556,Artists' books Washington (State) 21st century. rbgenr,,Artists' books,"Washington (State) 21st century, rbgenr",0.88,
Artists' books Washington (State) Bellingham 2017. rbgenr,557,Artists' books Washington (State) Bellingham 2017. rbgenr,,Artists' books,"Washington (State) Bellingham 2017, rbgenr",0.88,
Artists' books Washington (State) Olympia 21st century. rbgenr,558,Artists' books Washington (State) Olympia 21st century. rbgenr,,Artists' books,"Washington (State) Olympia 21st century, rbgenr",0.88,
Artists' books Washington (State) rbgenr,559,Artists' books Washington (State) rbgenr,,Artists' books,"Washington (State), rbgenr",0.88,
Artist's books Washington (State) Tacoma 2018. rbgenr,560,Artist's books Washington (State) Tacoma 2018. rbgenr,,Artists' books,"Washington (State) Tacoma 2018, rbgenr",0.75,variant (Artist's -> Artists')
Artists' books Washington (State) Tacoma. rbgenr,561,Artists' books Washington (State) Tacoma. rbgenr,,Artists' books,"Washington (State) Tacoma, rbgenr",0.88,
Artists' books Washington (State) Walla Walla 21st century. rbgenr,562,Artists' books Washington (State) Walla Walla 21st century. rbgenr,,Artists' books,"Washington (State) Walla Walla 21st century, rbgenr",0.88,
Artists' books Wisconsin Madison. rbgenr,563,Artists' books Wisconsin Madison. rbgenr,,Artists' books,"Wisconsin Madison, rbgenr",0.88,
Artists' books Wisconsin Milwaukee 2014. rbgenr,564,Artists' books Wisconsin Milwaukee 2014. rbgenr,,Artists' books,"Wisconsin Milwaukee 2014, rbgenr",0.88,
Artists' books Wisconsin Milwaukee 2022. rbgenr,565,Artists' books Wisconsin Milwaukee 2022. rbgenr,,Artists' books,"Wisconsin Milwaukee 2022, rbgenr",0.88,
Artists' books Wisconsin Stockholm 2021. rbgenr,566,Artists' books Wisconsin Stockholm 2021. rbgenr,,Artists' books,"Wisconsin Stockholm 2021, rbgenr",0.7,possible metadata mismatch (Stockholm?)
Artists' books Wisconsin Stockholm 2021. rbmscv,567,Artists' books Wisconsin Stockholm 2021. rbmscv,,Artists' books,"Wisconsin Stockholm 2021, rbmscv",0.7,
Artists' books Wisconsin Waukesha 2018. rbgenr,568,Artists' books Wisconsin Waukesha 2018. rbgenr,,Artists' books,"Wisconsin Waukesha 2018, rbgenr",0.88,
Artists' books. California Novato 2013. rbgenr,569,Artists' books. California Novato 2013. rbgenr,,Artists' books,"California Novato 2013, rbgenr",0.88,
Artists' books. New York (State) 21st century rbgenr,570,Artists' books. New York (State) 21st century rbgenr,,Artists' books,"New York (State) 21st century, rbgenr",0.88,
Artists books. rbgenr,571,Artists books. rbgenr,,Artists' books,rbgenr,0.75,minor variant (Artists books -> Artists' books)
Artists' books. rbgenr,572,Artists' books. rbgenr,,Artists' books,rbgenr,0.95,
Artist's books. rbgenr,573,Artist's books. rbgenr,,Artists' books,rbgenr,0.75,variant (Artist's -> Artists')
Artists' books. rbgenr CtW,574,Artists' books. rbgenr CtW,,Artists' books,"rbgenr, CtW",0.88,
Artists' books. rbmscv,544,Artists' books. rbmscv,,Artists' books,rbmscv,0.95,
Artists' books. rbmscv,575,Artists' books. rbmscv,,Artists' books,rbmscv,0.95,
Artists' books. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00146,576,Artists' books. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00146,,Artists' books,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00146",0.92,
Artists' books. rbpub,577,Artists' books. rbpub,,Artists' books,rbpub,0.88,
Artists? books. rbmscv,578,Artists? books. rbmscv,,Artists' books,rbmscv,0.6,uncertain punctuation (Artists?)
Artists'books. rbmscv,579,Artists'books. rbmscv,,Artists' books,rbmscv,0.6,missing space variant
atists' books. rbmscv,580,atists' books. rbmscv,,Artists' books,rbmscv,0.6,typo in original (atists')
Atlases (Geographic) 1794. rbgenr,581,Atlases (Geographic) 1794. rbgenr,,Atlases (Geographic),"1794, rbgenr",1.0,
Atlases (Geographic) 1794. rbmscv,582,Atlases (Geographic) 1794. rbmscv,,Atlases (Geographic),"1794, rbmscv",1.0,
Atlases (Geographic) 1796. rbgenr,583,Atlases (Geographic) 1796. rbgenr,,Atlases (Geographic),"1796, rbgenr",1.0,
Atlases (Geographic) 1796. rbmscv,584,Atlases (Geographic) 1796. rbmscv,,Atlases (Geographic),"1796, rbmscv",1.0,
Atlases (Geographic) 1800. rbgenr,585,Atlases (Geographic) 1800. rbgenr,,Atlases (Geographic),"1800, rbgenr",1.0,
Atlases (Geographic) 1800. rbmscv,586,Atlases (Geographic) 1800. rbmscv,,Atlases (Geographic),"1800, rbmscv",1.0,
Atlases (Geographic) 1865. rbgenr,587,Atlases (Geographic) 1865. rbgenr,,Atlases (Geographic),"1865, rbgenr",1.0,
Atlases (Geographic) 21st century. rbgenr,588,Atlases (Geographic) 21st century. rbgenr,,Atlases (Geographic),"21st century, rbgenr",0.9,
Atlases (Geographic) rbgenr,589,Atlases (Geographic) rbgenr,,Atlases (Geographic),rbgenr,1.0,
Atlases (Geographic) rbmscv,590,Atlases (Geographic) rbmscv,,Atlases (Geographic),rbmscv,1.0,
Atlases (Geographic) rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00161,591,Atlases (Geographic) rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00161,,Atlases (Geographic),"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00161",0.92,
Atlases (Geographic) United States 1789. rbgenr,,,,,,,
Atlases (Geographic) United States 1789. rbmscv,,,,,,,
Atlases (Geographic) United States 2007. rbgenr,,,,,,,
Atlases (Scientific) rbgenr,592,Atlases (Scientific) rbgenr,,Atlases (Scientific),rbgenr,1.0,
Auction catalogs. rbgenr,593,Auction catalogs. rbgenr,,Auction catalogs,rbgenr,1.0,
Auction catalogues 1873 06 03-06. rbgenr,594,Auction catalogues 1873 06 03-06. rbgenr,,Auction catalogs,"1873-06-03–06, rbgenr",0.88,
Auction catalogues New York New York 20th century. rbgenr,595,Auction catalogues New York New York 20th century. rbgenr,,Auction catalogs,"New York New York 20th century, rbgenr",0.88,
Auction catalogues. rbgenr,596,Auction catalogues. rbgenr,,Auction catalogs,rbgenr,1.0,
Authentication (Publishing) England London 1773. rbpub,597,Authentication (Publishing) England London 1773. rbpub,,Authentication,"(Publishing) England London 1773, rbpub",0.85,
Authors' autographs (Provenance) 20th century. rbprov MMeT,598,Authors' autographs (Provenance) 20th century. rbprov MMeT,,Authors' autographs,"(Provenance) 20th century, rbprov, MMeT",0.9,
Authors' autographs (Provenance) Knudson 2009. rbprov,599,Authors' autographs (Provenance) Knudson 2009. rbprov,,Authors' autographs,"(Provenance) Knudson 2009, rbprov",0.85,
Authors' autographs (Provenance) rbgenr,600,Authors' autographs (Provenance) rbgenr,,Authors' autographs,"(Provenance), rbgenr",0.95,
Authors' autographs (Provenance) rbmscv,601,Authors' autographs (Provenance) rbmscv,,Authors' autographs,"(Provenance), rbmscv",0.95,
Authors' autographs (Provenance) Redington 2014. rbprov,602,Authors' autographs (Provenance) Redington 2014. rbprov,,Authors' autographs,"(Provenance) Redington 2014, rbprov",0.85,
Authors' autographs (Provenance) United States 20th century. rbmscv,,,,,,,
Authors' autographs rbmscv,,,,,,,
Authors' autographs. rbmscv,,,,,,,
Authors' presentation copies (Provenance) rbgenr,603,Authors' presentation copies (Provenance) rbgenr,,Authors' presentation copies,"(Provenance), rbgenr",1.0,
Authors' presentation copies (Provenance) rbgenr MH-H,604,Authors' presentation copies (Provenance) rbgenr MH-H,,Authors' presentation copies,"(Provenance), rbgenr, MH-H",0.9,
Authors' presentation copies (Provenance) rbprov MMeT,605,Authors' presentation copies (Provenance) rbprov MMeT,,Authors' presentation copies,"(Provenance), rbprov, MMeT",0.9,
Authors' presentation copies United States 20th century. rbmscv,606,Authors' presentation copies United States 20th century. rbmscv,,Authors' presentation copies,"United States 20th century, rbmscv",0.88,
Authors' presentation copies. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00183,607,Authors' presentation copies. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00183,,Authors' presentation copies,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00183",0.92,
Authors' presentation copies. rbmscv MMeT,608,Authors' presentation copies. rbmscv MMeT,,Authors' presentation copies,"rbmscv, MMeT",0.9,
Authors' presentation inscription (Provenance) Souci 1995. rbmscv,609,Authors' presentation inscription (Provenance) Souci 1995. rbmscv,,Authors' presentation inscriptions,"(Provenance) Souci 1995, rbmscv",0.85,
Authors' presentation inscriptions (Provenance) England London 18th century. rbprov,610,Authors' presentation inscriptions (Provenance) England London 18th century. rbprov,,Authors' presentation inscriptions,"(Provenance) England London 18th century, rbprov",0.85,
Authors' presentation inscriptions (Provenance) rbmscv,611,Authors' presentation inscriptions (Provenance) rbmscv,,Authors' presentation inscriptions,"(Provenance), rbmscv",0.95,
Authors' presentation inscriptions (Provenance) rbprov MMeT,612,Authors' presentation inscriptions (Provenance) rbprov MMeT,,Authors' presentation inscriptions,"(Provenance), rbprov, MMeT",0.9,
Authors' presentation inscriptions. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00181,613,Authors' presentation inscriptions. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00181,,Authors' presentation inscriptions,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00181",0.92,
Authors'autographs. rbmscv,614,Authors'autographs. rbmscv,,Authors' autographs,rbmscv,0.9,minor punctuation variant
Authors'autographs. rbmscv NPV,615,Authors'autographs. rbmscv NPV,,Authors' autographs,"rbmscv, NPV",0.88,
Authors'inscriptions. rbmscv,616,Authors'inscriptions. rbmscv,,Authors' inscriptions,rbmscv,0.95,
Authors'inscriptions. rbmscv NPV,617,Authors'inscriptions. rbmscv NPV,,Authors' inscriptions,"rbmscv, NPV",0.88,
Autobigraphies 1937. rbgenr,618,Autobigraphies 1937. rbgenr,,Autobiographies,"1937, rbgenr",0.75,typo in original (Autobigraphies -> Autobiographies)
Autobiographical fiction. rbgenr,619,Autobiographical fiction. rbgenr,,Autobiographies,rbgenr,0.6,category vs form (fiction vs autobiography) — no_match by rule B would be possible but here mapped cautiously; ambiguous mapping
Autobiographies 1936. rbgenr,620,Autobiographies 1936. rbgenr,,Autobiographies,"1936, rbgenr",0.88,
Autobiographies 19th century. rbgenr,621,Autobiographies 19th century. rbgenr,,Autobiographies,"19th century, rbgenr",0.88,
Autobiographies 20th century Women authors. rbgenr,622,Autobiographies 20th century Women authors. rbgenr,,Autobiographies,"20th century Women authors, rbgenr",0.8,
