id	original	status	updated_term	extraneous_text	confidence	error	GenreTerms
1342	Folk tales 1972. rbgenr		Folk tales	1972, rbgenr	1		
1343	Folk tales 1972. rbmscv		Folk tales	1972, rbmscv	1		
1344	Folk tales 1976. rbgenr		Folk tales	1976, rbgenr	1		
1345	Folk tales 1982. rbgenr		Folk tales	1982, rbgenr	1		
1346	Folk tales 1983. rbgenr		Folk tales	1983, rbgenr	1		
1347	Folk tales 1984. rbgenr		Folk tales	1984, rbgenr	1		
1348	Folk tales 1986. rbgenr		Folk tales	1986, rbgenr	1		
1349	Folk tales 1988. rbgenr		Folk tales	1988, rbgenr	1		
1350	Folk tales 1990. rbgenr		Folk tales	1990, rbgenr	1		
1351	Folk tales 1992. rbgenr		Folk tales	1992, rbgenr	1		
1352	Folk tales 1994. rbgenr		Folk tales	1994, rbgenr	1		
1353	Folk tales 1994. rbmscv		Folk tales	1994, rbmscv	1		
1354	Folk tales 1996. rbgenr		Folk tales	1996, rbgenr	1		
1355	Folk tales 1997. rbgenr		Folk tales	1997, rbgenr	1		
1356	Folk tales 2004. rbgenr		Folk tales	2004, rbgenr	1		
1357	Folk tales. rbgenr		Folk tales	rbgenr	1		
1358	Folk tales. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00278		Folk tales	rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00278	0.92		
1359	Folklore New York (State) New York 1945. rbgenr		Folklore	New York (State) New York 1945, rbgenr	0.95		
1360	Folklore. rbgenr		Folklore	rbgenr	1		
1361	Folktales 1964. rbgenr		Folk tales	1964, rbgenr	0.9		
1362	Fore-edge paintings. rbmscv		Fore-edge paintings	rbmscv	1		
1363	Fourth of July addresses 1793. rbgenr		Fourth of July addresses	1793, rbgenr	1		
1364	Fourth of July addresses 1855. rbgenr		Fourth of July addresses	1855, rbgenr	1		
1365	Fourth of July addresses 1875. rbgenr		Fourth of July addresses	1875, rbgenr	1		
1366	Fourth of July addresses 1876. rbgenr		Fourth of July addresses	1876, rbgenr	1		
1367	Foxing. rbpap		Foxing	rbpap	1		
1368	Funeral addresses 1796. rbgenr		Funeral addresses	1796, rbgenr	1		
1369	Funeral addresses 1799. rbgenr		Funeral addresses	1799, rbgenr	1		
1370	Funeral addresses 1799. rbmscv		Funeral addresses	1799, rbmscv	1		
1371	Funeral addresses 1800. rbgenr		Funeral addresses	1800, rbgenr	1		
1372	Funeral addresses 1800. rbmscv		Funeral addresses	1800, rbmscv	1		
1373	Funeral addresses Italy 16th century. rbgenr		Funeral addresses	Italy 16th century, rbgenr	0.9		
1374	Funeral books Italy Rome 17th century. rbgenr		Funeral books	Italy Rome 17th century, rbgenr	0.95		
1375	Funeral sermons 1697. rbgenr		Funeral sermons	1697, rbgenr	1		
1376	Funeral sermons 1714. rbgenr		Funeral sermons	1714, rbgenr	1		
1377	Funeral sermons 1717. rbgenr		Funeral sermons	1717, rbgenr	1		
1378	Funeral sermons 1721. rbgenr		Funeral sermons	1721, rbgenr	1		
1379	Funeral sermons 1733. rbmscv		Funeral sermons	1733, rbmscv	1		
1380	Funeral sermons 1735. rbgenr		Funeral sermons	1735, rbgenr	1		
1381	Funeral sermons 1737. rbmscv		Funeral sermons	1737, rbmscv	1		
1382	Funeral sermons 1799. rbgenr		Funeral sermons	1799, rbgenr	1		
1383	Funeral sermons 1800. rbgenr		Funeral sermons	1800, rbgenr	1		
1384	Galley proofs (Printing) rbpri		Galley proofs	(Printing), rbpri	1		
1385	Gallows speeches		Gallows speeches		0	no_match (not in rbms_terms.json)	
1386	Gauffered edges (Binding) 16th century. rbbin MMeT		Gauffered edges	(Binding) 16th century, rbbin, MMeT	1		
1387	Gauffered edges (Binding) 17th century. rbbin MMeT		Gauffered edges	(Binding) 17th century, rbbin, MMeT	1		
1388	Gauffered edges (Binding) rbbin MMeT		Gauffered edges	(Binding), rbbin, MMeT	1		
1389	Gazetteers Massachusetts. rbgenr		Gazetteers	Massachusetts, rbgenr	1		
1390	Gazetteers United States. rbgenr		Gazetteers	United States, rbgenr	1		
1391	Gazetteers. rbgenr		Gazetteers	rbgenr	1		
1392	Genealogies Switzerland Zurich 17th century. rbgenr		Genealogies	Switzerland Zurich 17th century, rbgenr	1		
1393	Genealogies. rbgenr		Genealogies	rbgenr	1		
1394	Gift books 1850. rbgenr		Gift books	1850, rbgenr	1		
1395	Gift books England London 1834. rbgenr		Gift books	England London 1834, rbgenr	1		
1396	Gift books Massachusetts Boston 1848. rbgenr		Gift books	Massachusetts Boston 1848, rbgenr	1		
1397	Gift books New York (State) New York 19th century. rbgenr		Gift books	New York (State) New York 19th century, rbgenr	1		
1398	Gift books Pennsylvania Philadelphia 19th century. rbmscv		Gift books	Pennsylvania Philadelphia 19th century, rbmscv	1		
1399	Gift books United States. 19th century. rbgenr		Gift books	United States 19th century, rbgenr	1		
1400	Gift books. rbgenr		Gift books	rbgenr	1		
1401	Gilt edges (Binding) 16th century. rbbin MMeT		Gilt edges	(Binding) 16th century, rbbin, MMeT	1		
1402	Gilt edges (Binding) England 17th century. rbbin MMeT		Gilt edges	(Binding) England 17th century, rbbin, MMeT	1		
1403	Gilt edges (Binding) England 20th century Specimens. rbmscv		Gilt edges	(Binding) England 20th century Specimens, rbmscv	0.95		
1404	Gilt edges (Binding) rbbin		Gilt edges	(Binding), rbbin	1		
1405	Gilt edges (Binding) rbbin MMeT		Gilt edges	(Binding), rbbin, MMeT	1		
1406	Gilt edges (Binding) rbmscv		Gilt edges	rbmscv	1		
1407	Gilt edges (Bindings) rbbin MMeT		Gilt edges	(Bindings), rbbin, MMeT	0.95		
1408	Gilt edges (Bindings). rbbin MMeT		Gilt edges	rbbin, MMeT	0.95		
1409	Gilt edges. rbmscv		Gilt edges	rbmscv	1		
1410	Gilt edges. rbmscv MMeT		Gilt edges	rbmscv, MMeT	0.95		
1411	Girdle books. rbbin		Girdle books	rbbin	1		
1412	Glossaries. rbgenr		Glossaries	rbgenr	1		
1413	Goatskin bindings (Binding) rbbin MMeT		Goatskin bindings	(Binding), rbbin, MMeT	1		
1414	Gold blocked bindings (Binding) rbbin MMeT		Gold blocked bindings	(Binding), rbbin, MMeT	1		
1415	Gold blocked bindings. rbmscv		Gold blocked bindings	rbmscv	1		
1416	Gold tooled bindings (Binding) rbbin MMeT		Gold tooled bindings	(Binding), rbbin, MMeT	1		
1417	Gold tooled bindings (Binding) rbmscv		Gold tooled bindings	rbmscv	1		
1418	Gold tooled bindings. rbmscv MMeT		Gold tooled bindings	rbmscv, MMeT	0.95		
1419	Gothic novels. rbgenr		Gothic novels	rbgenr	1		
1420	Grammar entries (various)		Grammars		0	no_match (original ambiguous — not a direct source line)	
1421	Grammars Italian. rbgenr		Grammars	Italian, rbgenr	1		
1422	Grammars. rbgenr		Grammars	rbgenr	1		
1423	Guidebooks 20th century. rbgenr		Guidebooks	20th century, rbgenr	1		
1424	Guidebooks Austria 1887. rbgenr		Guidebooks	Austria 1887, rbgenr	1		
1425	Guidebooks Egypt 1908. rbgenr		Guidebooks	Egypt 1908, rbgenr	1		
1426	Guidebooks England London 1894. rbgenr		Guidebooks	England London 1894, rbgenr	1		
1427	Guidebooks Germany 1887. rbgenr		Guidebooks	Germany 1887, rbgenr	1		
1428	Guidebooks Germany 1892. rbgenr		Guidebooks	Germany 1892, rbgenr	1		
1429	Guidebooks Germany Leipzig 20th century. rbgenr		Guidebooks	Germany Leipzig 20th century, rbgenr	1		
1430	Guidebooks Greece 1905. rbgenr		Guidebooks	Greece 1905, rbgenr	1		
1431	Guidebooks Italy 16th century. rbgenr		Guidebooks	Italy 16th century, rbgenr	1		
1432	Guidebooks Italy 1904. rbgenr		Guidebooks	Italy 1904, rbgenr	1		
1433	Guidebooks New York (N.Y.) 20th century. rbgenr		Guidebooks	New York (N.Y.) 20th century, rbgenr	1		
1434	Guidebooks Switzerland 1891. rbgenr		Guidebooks	Switzerland 1891, rbgenr	1		
1435	Guidebooks Switzerland 1895. rbgenr		Guidebooks	Switzerland 1895, rbgenr	1		
1436	Guidebooks. rbgenr		Guidebooks	rbgenr	1		
1437	Hahnemu?hler (paper). rbpap			Hahnemu?hler (paper), rbpap	0	no_match (term not in rbms_terms.json or corrupted diacritics)	
1438	Half bindings (Binding) 19th century. rbbin MMeT		Half bindings	(Binding) 19th century, rbbin, MMeT	1		
1439	Half bindings (Binding) rbbin		Half bindings	(Binding), rbbin	1		
1440	Half bindings (Binding) rbbin MMeT		Half bindings	(Binding), rbbin, MMeT	1		
1441	Half bindings (Binding). rbbin MMeT		Half bindings	rbbin, MMeT	0.95		
1442	Half bindings (Bindings). rbbin		Half bindings	(Bindings), rbbin	0.95		
1443	Half bindings(Binding) rbbin MMeT		Half bindings	(Binding), rbbin, MMeT	0.85	formatting irregularity in original	
1444	Half bindings. rbmscv		Half bindings	rbmscv	1		
1445	Handmade paper (Paper). rbpap		Handmade papers	rbpap	0.95		
1446	Handmade papers (Paper) 21st century. rbpap		Handmade papers	(Paper) 21st century, rbpap	1		
1447	Handmade papers (Paper) England 20th century. rbpap		Handmade papers	(Paper) England 20th century, rbpap	1		
1448	Handmade papers (Paper) England London 19th century. rbpap		Handmade papers	(Paper) England London 19th century, rbpap	1		
1449	Handmade papers (Paper) Korea. rbpap		Handmade papers	(Paper) Korea, rbpap	1		
1450	Handmade papers (Paper) Mexico 21st Century. rbpap		Handmade papers	(Paper) Mexico 21st century, rbpap	1		
1451	Handmade papers (Paper) Pennsylvania Philadelphia. rbpap		Handmade papers	(Paper) Pennsylvania Philadelphia, rbpap	1		
1452	Handmade papers (Paper) rbmscv		Handmade papers	(Paper), rbmscv	1		
1453	Handmade papers (Paper) rbpap		Handmade papers	(Paper), rbpap	1		
1454	Handmade papers. rbmscv		Handmade papers	rbmscv	1		
1455	Hand-made papers. rbpap		Handmade papers	rbpap	0.9		
1456	Hand-made papers. rbpap		Handmade papers	rbpap	0.9		
1457	Hemp fibers (Paper) United States 21st century. rbpap		Hemp fiber papers	United States 21st century, rbpap	0.95		
1458	Herbals England London 1636 rbgenr		Herbals	England London 1636, rbgenr	1		
1459	Herbals England London 1636. rbgenr		Herbals	England London 1636, rbgenr	1		
1460	Herbals England London 17th century. rbgenr		Herbals	England London 17th century, rbgenr	1		
1461	Herbals. rbgenr		Herbals	rbgenr	1		
1462	Herbals. rbmscv		Herbals	rbmscv	1		
1463	Historical drama. rbgenr		English drama	historical drama mapped to 'English drama'?, rbgenr	0.6	approximate mapping — no exact 'Historical drama' term in RBMS list	
1464	Historical fiction rbgenr		Historical fiction	rbgenr	1		
1465	Historical fiction United States 19th century. rbgenr		Historical fiction	United States 19th century, rbgenr	1		
1466	Historical fiction. rbgenr		Historical fiction	rbgenr	1		
1467	Historical works United States 17th century. rbgenr		Historical works	United States 17th century, rbgenr	1		
1468	Hygiene. rbgenr		Hygiene		0	no_match (not in rbms_terms.json)	
1469	Hymnals England London 18th century. rbgenr		Hymnals	England London 18th century, rbgenr	1		
1470	Hymnals. rbgenr		Hymnals	rbgenr	1		
1471	Hymnals. rbmscv		Hymnals	rbmscv	1		
1472	Hymns. rbgenr		Hymns	rbgenr	1		
1473	Hymns. rbmscv		Hymns	rbmscv	1		
1474	Illegible markings (Provenance) rbprov MMeT		Illegible markings	(Provenance), rbprov, MMeT	1		
1475	Illuminations Color Reproductions. rbgenr			Illuminations Color Reproductions, rbgenr	0	no_match (not in rbms_terms.json)	
1476	Illustrated books. rbgenr		Illustrated works	rbgenr	0.85		
1477	Illustrated works 19th century. rbgenr		Illustrated works	19th century, rbgenr	1		
1478	Illustrated works 20th century. rbgenr		Illustrated works	20th century, rbgenr	1		
1479	Illustrated works California San Francisco 20th century. rbgenr		Illustrated works	California San Francisco 20th century, rbgenr	1		
1480	Illustrated works California San Marino 20th century. rbgenr		Illustrated works	California San Marino 20th century, rbgenr	1		
1481	Illustrated works Canada 21st century. rbgenr		Illustrated works	Canada 21st century, rbgenr	1		
1482	Illustrated works England 17th century. rbgenr		Illustrated works	England 17th century, rbgenr	1		
1483	Illustrated works England Cambridge 20th century. rbgenr		Illustrated works	England Cambridge 20th century, rbgenr	1		
1484	Illustrated works England London 18th century. rbgenr		Illustrated works	England London 18th century, rbgenr	1		
1485	Illustrated works England London 19th century. rbgenr		Illustrated works	England London 19th century, rbgenr	1		
1486	Illustrated works England London 20th century. rbgenr		Illustrated works	England London 20th century, rbgenr	1		
1487	Illustrated works France Clairvaux 20th century. rbgenr		Illustrated works	France Clairvaux 20th century, rbgenr	1		
1488	Illustrated works France Paris 20th century. rbgenr		Illustrated works	France Paris 20th century, rbgenr	1		
1489	Illustrated works Germany 16th century. rbgenr		Illustrated works	Germany 16th century, rbgenr	1		
1490	Illustrated works Germany Frankfurt am Main 17th century. rbgenr		Illustrated works	Germany Frankfurt am Main 17th century, rbgenr	1		
1491	Illustrated works Great Britain 20th century. rbgenr		Illustrated works	Great Britain 20th century, rbgenr	1		
1492	Illustrated works Italy Milan 18th century. rbgenr		Illustrated works	Italy Milan 18th century, rbgenr	1		
1493	Illustrated works Massachusetts Boston 1898. rbgenr		Illustrated works	Massachusetts Boston 1898, rbgenr	1		
1494	Illustrated works Massachusetts Boston 1916. rbgenr		Illustrated works	Massachusetts Boston 1916, rbgenr	1		
1495	Illustrated works Massachusetts Boston 1922. rbgenr		Illustrated works	Massachusetts Boston 1922, rbgenr	1		
1496	Illustrated works Massachusetts Boston 1974. rbgenr		Illustrated works	Massachusetts Boston 1974, rbgenr	1		
1497	Illustrated works Massachusetts Boston 20th century. rbgenr		Illustrated works	Massachusetts Boston 20th century, rbgenr	1		
1498	Illustrated works New York (State) New York 1936. rbgenr		Illustrated works	New York (State) New York 1936, rbgenr	1		
1499	Illustrated works New York (State) New York 1984. rbgenr		Illustrated works	New York (State) New York 1984, rbgenr	1		
1500	Illustrated works New York (State) New York 2016. rbgenr		Illustrated works	New York (State) New York 2016, rbgenr	1		
1501	Illustrated works New York New York 1899. rbgenr		Illustrated works	New York New York 1899, rbgenr	1		
1502	Illustrated works New York New York 1900-1909. rbgenr		Illustrated works	New York New York 1900-1909, rbgenr	1		
1503	Illustrated works New York New York 1905. rbgenr		Illustrated works	New York New York 1905, rbgenr	1		
1504	Illustrated works New York New York 1944. rbgenr		Illustrated works	New York New York 1944, rbgenr	1		
1505	Illustrated works New York New York 1977. rbgenr		Illustrated works	New York New York 1977, rbgenr	1		
1506	Illustrated works rbgenr		Illustrated works	rbgenr	1		
1507	Illustrated works rbgenr. lcgft		Illustrated works	rbgenr, lcgft	0.9		
1508	Illustrated works United States 1978. rbgenr		Illustrated works	United States 1978, rbgenr	1		
1509	Illustrated works United States 21st century. rbgenr		Illustrated works	United States 21st century, rbgenr	1		
1510	Illustrated works United States Washington (D.C.) 1969. rbgenr		Illustrated works	United States Washington (D.C.) 1969, rbgenr	1		
1511	Illustrated works Vermont Newark (Town) 20th century. rbgenr		Illustrated works	Vermont Newark (Town) 20th century, rbgenr	0.9		
1512	Illustrated works. rbgenr		Illustrated works	rbgenr	1		
1513	Illustrated works. rbmscv		Illustrated works	rbmscv	1		
1514	Illustrators' presentation inscription (Provenance) Pinkney 1995. rbmscv		Illustrators' presentation inscription	(Provenance) Pinkney 1995, rbmscv	0.9		
1515	Imaginary conversations England London 17th century. rbgenr		Imaginary conversations	England London 17th century, rbgenr	1		
1516	Imaginary conversations England London 18th century. rbgenr		Imaginary conversations	England London 18th century, rbgenr	1		
1517	Imaginary voyages 1926. rbgenr		Imaginary voyages	1926, rbgenr	1		
1518	Imaginary voyages 1940. rbgenr		Imaginary voyages	1940, rbgenr	1		
1519	Imaginary voyages 1945. rbgenr		Imaginary voyages	1945, rbgenr	1		
1520	Imaginary voyages 1981. rbgenr		Imaginary voyages	1981, rbgenr	1		
1521	Imaginary voyages 1981. rbmscv		Imaginary voyages	1981, rbmscv	1		
1522	Imaginary voyages. rbgenr		Imaginary voyages	rbgenr	1		
1523	Imperfect paper reams		Imperfect paper reams		0	no_match (not in rbms_terms.json)	
1524	Imposition errors (Printing) NNC rbpri		Imposition errors	(Printing) NNC, rbpri	1		
1525	Imposition errors (Printing) rbpri		Imposition errors	(Printing), rbpri	1		
1526	Imprimaturs (Printing) Italy 17th century. rbpri		Imprimaturs	(Printing) Italy 17th century, rbpri	1		
1527	Imprimaturs (Printing) rbpri		Imprimaturs	(Printing), rbpri	1		
1528	Imprimaturs (Publishing) rbpub		Imprimaturs	(Publishing), rbpub	1		
1529	Incunabula (Genre). rbgenr		Incunabula	rbgenr	1		
1530	Incunabula Italy Venice 1476. rbgenr		Incunabula	Italy Venice 1476, rbgenr	1		
1531	Incunabula Italy Venice 1482. rbgenr		Incunabula	Italy Venice 1482, rbgenr	1		
1532	Incunabula Italy Venice 1486. rbgenr		Incunabula	Italy Venice 1486, rbgenr	1		
1533	Incunabula Italy Venice 1490. rbgenr		Incunabula	Italy Venice 1490, rbgenr	1		
1534	Incunabula Italy Venice 1495. rbgenr		Incunabula	Italy Venice 1495, rbgenr	1		
1535	Incunabula Italy Venice 15th century. rbgenr		Incunabula	Italy Venice 15th century, rbgenr	1		
1536	Incunabula Italy. rbgenr		Incunabula	Italy, rbgenr	1		
1537	Incunabula. rbgenr		Incunabula	rbgenr	1		
1538	Incunabula. rbmscv		Incunabula	rbmscv	1		
1539	Indexes. rbgenr		Indexes	rbgenr	1		
1540	India proof papers (Paper) England 19th century. rbpap		India proof papers	(Paper) England 19th century, rbpap	1		
1541	Indulgences. rbgenr		Indulgences	rbgenr	1		
1542	Initials (Abbreviations)		Initials (Abbreviations)		0	no_match (not in rbms_terms.json)	
1543	Initials combined with printed signatures		Initials combined with printed signatures		0	no_match (not in rbms_terms.json)	
1544	Ink stamps (Provenance) 18th century. rbprov MMeT		Ink stamps	(Provenance) 18th century, rbprov, MMeT	1		
1545	Ink stamps (Provenance) rbprov MMeT		Ink stamps	(Provenance), rbprov, MMeT	1		
1546	Inlays		Inlays		0	no_match (not in rbms_terms.json)	
1547	Inquisitiones post mortem		Inquisitiones post mortem		0	no_match (not in rbms_terms.json)	
1548	Inscriptions		Inscriptions		1		
1549	Inserted text leaves		Inserted text leaves		0	no_match (not in rbms_terms.json)	
1550	Insertions (Production)		Insertions (Production)		0	no_match (not in rbms_terms.json)	
1551	Insertions (Provenance)		Insertions (Provenance)		0	no_match (not in rbms_terms.json)	
1552	Inside reams		Inside reams		0	no_match (not in rbms_terms.json)	
1553	Installation sermons		Installation sermons		0	no_match (not in rbms_terms.json)	
1554	Intaglio watermarks		Intaglio watermarks		0	no_match (not in rbms_terms.json)	
1555	Intaglio. rbpap		Intaglio	rbpap	1		
1556	Integral errata lists (Printing) 17th century. rbpri		Integral errata lists	(Printing) 17th century, rbpri	1		
1557	Integral errata lists (Printing) England 17th century. rbpri		Integral errata lists	(Printing) England 17th century, rbpri	1		
1558	Integral errata lists (Printing) England 18th century. WaPS. rbpri		Integral errata lists	(Printing) England 18th century, WaPS, rbpri	0.95		
1559	Integral errata lists (Printing) England London 1767. rbpri		Integral errata lists	(Printing) England London 1767, rbpri	1		
1560	Integral errata lists (Printing) England London 1788. rbpri		Integral errata lists	(Printing) England London 1788, rbpri	1		
1561	Integral errata lists (Printing) France 16th century. rbpri		Integral errata lists	(Printing) France 16th century, rbpri	1		
1562	Integral errata lists (Printing) rbpri		Integral errata lists	(Printing), rbpri	1		
1563	Integral errata lists (Printings) rbpri		Integral errata lists	(Printings), rbpri	0.9		
1564	Integral errata lists (Publishing) France 16h century. rbpub		Integral errata lists	(Publishing) France 16th century, rbpub	0.9		
1565	Integral errata lists (Publishing) rbpub		Integral errata lists	(Publishing), rbpub	0.95		
1566	Integral errata lists. rbmscv		Integral errata lists	rbmscv	1		
1567	Integral errata lists. rbpri		Integral errata lists	rbpri	1		
1568	Interviews. rbgenr		Interviews	rbgenr	1		
1569	Inverted blocks		Inverted blocks		0	no_match (not in rbms_terms.json)	
1570	Invitations		Invitations		0	no_match (not in rbms_terms.json)	
1571	Iridescent papers		Iridescent papers		0	no_match (not in rbms_terms.json)	
1572	Iron clasps		Iron clasps		0	no_match (not in rbms_terms.json)	
1573	Iron specks		Iron specks		0	no_match (not in rbms_terms.json)	
1574	Islamic bindings (Binding) rbbin		Islamic bindings	(Binding), rbbin	1		
1575	Issues (Publishing) United States 20th century. rbgenr		Issues	(Publishing) United States 20th century, rbgenr	0.9		
1576	Italic types (Type evidence) Venice 1501. rbtyp		Italic types	(Type evidence) Venice 1501, rbtyp	1		
1577	Italic types rbmscv		Italic types	rbmscv	1		
1578	Itineraries		Itineraries		0	no_match (not in rbms_terms.json)	
1579	Ivory bindings		Ivory bindings		0	no_match (not in rbms_terms.json)	
1580	Jansenist style bindings (Binding) rbbin MMeT		Jansenist style bindings	(Binding), rbbin, MMeT	1		
1581	Jute fibers (Paper) United States 21st century. rbpap		Jute fiber papers	United States 21st century, rbpap	0.95		
1582	Juvenile fiction. rbgenr		Juvenile literature	rbgenr	0.9		
1583	Juvenile fiction. rbmscv		Juvenile literature	rbmscv	0.9		
1584	Juvenile literature 1684. rbgenr		Juvenile literature	1684, rbgenr	1		
1585	Juvenile literature 1685. rbgenr		Juvenile literature	1685, rbgenr	1		
1586	Juvenile literature 1753. rbgenr		Juvenile literature	1753, rbgenr	1		
1587	Juvenile literature 1756. rbgenr		Juvenile literature	1756, rbgenr	1		
1588	Juvenile literature 1765. rbgenr		Juvenile literature	1765, rbgenr	1		
1589	Juvenile literature 1766. rbgenr		Juvenile literature	1766, rbgenr	1		
1590	Juvenile literature 1769. rbgenr		Juvenile literature	1769, rbgenr	1		
1591	Juvenile literature 1771. rbgenr		Juvenile literature	1771, rbgenr	1		
1592	Juvenile literature 1772. rbgenr		Juvenile literature	1772, rbgenr	1		
1593	Juvenile literature 1773. rbgenr		Juvenile literature	1773, rbgenr	1		
1594	Juvenile literature 1775. rbgenr		Juvenile literature	1775, rbgenr	1		
1595	Juvenile literature 1777. rbgenr		Juvenile literature	1777, rbgenr	1		
1596	Juvenile literature 1779. rbgenr		Juvenile literature	1779, rbgenr	1		
1597	Juvenile literature 1782. rbgenr		Juvenile literature	1782, rbgenr	1		
1598	Juvenile literature 1783. rbgenr		Juvenile literature	1783, rbgenr	1		
1599	Juvenile literature 1785. rbgenr		Juvenile literature	1785, rbgenr	1		
1600	Juvenile literature 1785. rbmscv		Juvenile literature	1785, rbmscv	1		
1601	Juvenile literature 1786. rbgenr		Juvenile literature	1786, rbgenr	1		
1602	Juvenile literature 1787. rbgenr		Juvenile literature	1787, rbgenr	1		
1603	Juvenile literature 1788. rbgenr		Juvenile literature	1788, rbgenr	1		
1604	Juvenile literature 1788. rbmscv		Juvenile literature	1788, rbmscv	1		
1605	Juvenile literature 1789. rbgenr		Juvenile literature	1789, rbgenr	1		
1606	Juvenile literature 1790. rbgenr		Juvenile literature	1790, rbgenr	1		
1607	Juvenile literature 1791. rbgenr		Juvenile literature	1791, rbgenr	1		
1608	Juvenile literature 1792. rbgenr		Juvenile literature	1792, rbgenr	1		
1609	Juvenile literature 1793. rbgenr		Juvenile literature	1793, rbgenr	1		
1610	Juvenile literature 1794. rbgenr		Juvenile literature	1794, rbgenr	1		
1611	Juvenile literature 1794. rbmscv		Juvenile literature	1794, rbmscv	1		
1612	Juvenile literature 1795. rbgenr		Juvenile literature	1795, rbgenr	1		
1613	Juvenile literature 1796. rbgenr		Juvenile literature	1796, rbgenr	1		
1614	Juvenile literature 1797. rbgenr		Juvenile literature	1797, rbgenr	1		
1615	Juvenile literature 1798. rbgenr		Juvenile literature	1798, rbgenr	1		
1616	Juvenile literature 1799. rbgenr		Juvenile literature	1799, rbgenr	1		
1617	Juvenile literature 1800. rbgenr		Juvenile literature	1800, rbgenr	1		
1618	Juvenile literature 1817. rbgenr		Juvenile literature	1817, rbgenr	1		
1619	Juvenile literature 1821. rbgenr		Juvenile literature	1821, rbgenr	1		
1620	Juvenile literature 1833. rbgenr		Juvenile literature	1833, rbgenr	1		
1621	Juvenile literature 1834. rbgenr		Juvenile literature	1834, rbgenr	1		
1622	Juvenile literature 1836. rbgenr		Juvenile literature	1836, rbgenr	1		
1623	Juvenile literature 1844. rbgenr		Juvenile literature	1844, rbgenr	1		
1624	Juvenile literature 1849. rbgenr		Juvenile literature	1849, rbgenr	1		
1625	Juvenile literature 1850. rbgenr		Juvenile literature	1850, rbgenr	1		
1626	Juvenile literature 1853. rbgenr		Juvenile literature	1853, rbgenr	1		
1627	Juvenile literature 1855. rbgenr		Juvenile literature	1855, rbgenr	1		
1628	Juvenile literature 1856. rbgenr		Juvenile literature	1856, rbgenr	1		
1629	Juvenile literature 1859. rbgenr		Juvenile literature	1859, rbgenr	1		
1630	Juvenile literature 1873. rbgenr		Juvenile literature	1873, rbgenr	1		
1631	Juvenile literature 1890. rbmscv		Juvenile literature	1890, rbmscv	1		
1632	Juvenile literature 1897. rbgenr		Juvenile literature	1897, rbgenr	1		
1633	Juvenile literature 1898. rbgenr		Juvenile literature	1898, rbgenr	1		
1634	Juvenile literature 1903. rbgenr		Juvenile literature	1903, rbgenr	1		
1635	Juvenile literature 1916. rbgenr		Juvenile literature	1916, rbgenr	1		
1636	Juvenile literature 1919. rbgenr		Juvenile literature	1919, rbgenr	1		
1637	Juvenile literature 1953. rbgenr		Juvenile literature	1953, rbgenr	1		
1638	Juvenile literature 1955. rbgenr		Juvenile literature	1955, rbgenr	1		
1639	Juvenile literature 1956. rbgenr		Juvenile literature	1956, rbgenr	1		
1640	Juvenile literature 1958. rbgenr		Juvenile literature	1958, rbgenr	1		
1641	Juvenile literature 1959. rbgenr		Juvenile literature	1959, rbgenr	1		
1642	Juvenile literature 1962. rbgenr		Juvenile literature	1962, rbgenr	1		
1643	Juvenile literature 1965. rbgenr		Juvenile literature	1965, rbgenr	1		
1644	Juvenile literature 1966. rbgenr		Juvenile literature	1966, rbgenr	1		
1645	Juvenile literature 1967. rbgenr		Juvenile literature	1967, rbgenr	1		
1646	Juvenile literature 1968. rbgenr		Juvenile literature	1968, rbgenr	1		
1647	Juvenile literature 1969. rbgenr		Juvenile literature	1969, rbgenr	1		
1648	Juvenile literature 1971. rbgenr		Juvenile literature	1971, rbgenr	1		
1649	Juvenile literature 1972. rbgenr		Juvenile literature	1972, rbgenr	1		
1650	Juvenile literature 1973. rbgenr		Juvenile literature	1973, rbgenr	1		
1651	Juvenile literature 1975. rbgenr		Juvenile literature	1975, rbgenr	1		
1652	Juvenile literature 1975. rbmscv		Juvenile literature	1975, rbmscv	1		
1653	Juvenile literature 1976. rbgenr		Juvenile literature	1976, rbgenr	1		
1654	Juvenile literature 1977. rbgenr		Juvenile literature	1977, rbgenr	1		
1655	Juvenile literature 1978. rbgenr		Juvenile literature	1978, rbgenr	1		
1656	Juvenile literature 1984. rbgenr		Juvenile literature	1984, rbgenr	1		
1657	Juvenile literature 1988. rbgenr		Juvenile literature	1988, rbgenr	1		
1658	Juvenile literature 1988. rbmscv		Juvenile literature	1988, rbmscv	1		
1659	Juvenile literature 1989. rbgenr		Juvenile literature	1989, rbgenr	1		
1660	Juvenile literature 1990. rbgenr		Juvenile literature	1990, rbgenr	1		
1661	Juvenile literature 1993. rbgenr		Juvenile literature	1993, rbgenr	1		
1662	Juvenile literature 1999. rbgenr		Juvenile literature	1999, rbgenr	1		
1663	Juvenile literature 20th century United States. rbgenr		Juvenile literature	20th century United States, rbgenr	1		
1664	Juvenile literature 20th century. rbgenr		Juvenile literature	20th century, rbgenr	1		
1665	Juvenile literature English 20th century. rbgenr		Juvenile literature	English 20th century, rbgenr	1		
1666	Juvenile literature Irish In English 20th century. rbgenr		Juvenile literature	Irish in English 20th century, rbgenr	0.9		
