id,655 - Local Param 04,status,updated_term,extraneous_text,confidence,error
520,rbgenr,no_match,,rbgenr,0,
521,atlases. rbgenr,matched,Atlases (Geographic),rbgenr,1,
522,sermons 1773. rbgenr,matched,Sermons,1773; rbgenr,1,
523,sermons 1794. rbgenr,matched,Sermons,1794; rbgenr,1,
524,rbgenr,no_match,,rbgenr,0,
525,bindings (Bindings) Italy 2007. rbbin,matched,Bindings (Provenance),(Bindings) Italy 2007; rbbin,0.8,
526,(Paper) rbpap,no_match,,(Paper); rbpap,0,
527,rbgenr,no_match,,rbgenr,0,
528,sermons 1773. rbgenr,matched,Sermons,1773; rbgenr,1,
529,rbgenr,no_match,,rbgenr,0,
530,(Binding) rbbin MMeT,no_match,,"(Binding); rbbin, MMeT",0,
531,bindings (Binding) 18th century. rbbin MMeT,matched,Bindings (Provenance),"(Binding) 18th century; rbbin, MMeT",0.8,
532,wrappers England London 19th century. rbbin,matched,Printed wrappers,England London 19th century; rbbin,0.9,
533,catalogs. rbgenr,matched,Catalogs,rbgenr,1,
534,printing (Printing) rbpri,no_match,,printing (Printing); rbpri,0,qualifier-only/ambiguous
535,printing (Printing). rbpri,no_match,,printing (Printing); rbpri,0,
536,printing. rbpri,no_match,,printing; rbpri,0,
537,France 19th century. rbgenr,no_match,,France 19th century; rbgenr,0,
538,United States 20th century. rbgenr,no_match,,United States 20th century; rbgenr,0,
539,rbgenr,no_match,,rbgenr,0,
540,books. rbgenr,matched,Books,rbgenr,1,
541,proceedings. rbgenr,matched,Legislative proceedings,rbgenr,0.7,broad mapping to proceedings (institutional/legal context may vary)
542,addresses 1830. rbgenr,no_match,,addresses 1830; rbgenr,0,
543,addresses 1838. rbgenr,no_match,,addresses 1838; rbgenr,0,
544,addresses 1846. rbgenr,no_match,,addresses 1846; rbgenr,0,
545,addresses 1848. rbgenr,no_match,,addresses 1848; rbgenr,0,
546,addresses 1850. rbgenr,no_match,,addresses 1850; rbgenr,0,
547,addresses 1854. rbgenr,no_match,,addresses 1854; rbgenr,0,
548,addresses 1855. rbgenr,no_match,,addresses 1855; rbgenr,0,
549,addresses 1856. rbgenr,no_match,,addresses 1856; rbgenr,0,
550,addresses 1858. rbgenr,no_match,,addresses 1858; rbgenr,0,
551,addresses 1860. rbgenr,no_match,,addresses 1860; rbgenr,0,
552,addresses 1861. rbgenr,no_match,,addresses 1861; rbgenr,0,
553,addresses 1862. rbgenr,no_match,,addresses 1862; rbgenr,0,
554,addresses 1864. rbgenr,no_match,,addresses 1864; rbgenr,0,
555,addresses 1865. rbgenr,no_match,,addresses 1865; rbgenr,0,
556,addresses United States 19th centur. rbgenr,no_match,,addresses United States 19th centur; rbgenr (typo 'centur'),0,corrupt/typo ??? no term
557,addresses United States 19th century. rbgenr,no_match,,addresses United States 19th century; rbgenr,0,
558,addresses. rbgenr,no_match,,addresses; rbgenr,0,
559,rbgenr,no_match,,rbgenr,0,
560,bindings (Binding) 16th century. rbbin MMeT,matched,Bindings (Provenance),"(Binding) 16th century; rbbin, MMeT",0.8,
561,bindings (Binding) rbbin MMeT,matched,Bindings (Provenance),"(Binding); rbbin, MMeT",0.9,
562,bindings. rbmscv MMeT,matched,Bindings (Provenance),"rbmscv, MMeT",0.85,
563,addresses. rbgenr,no_match,,addresses; rbgenr,0,
564,1930-1939. rbgenr,no_match,,1930-1939; rbgenr,0,
565,2000-2009. rbgenr,no_match,,2000-2009; rbgenr,0,
566,Italy 1970-1979. rbgenr,no_match,,Italy 1970-1979; rbgenr,0,
567,Pennsylvania 1865. rbgenr,no_match,,Pennsylvania 1865; rbgenr,0,
568,rbgenr,no_match,,rbgenr,0,
569,proofs (Printing) rbpri,matched,Proofs,(Printing); rbpri,1,
570,rbgenr,no_match,,rbgenr,0,
571,board bindings (Binding) Scotland Edinburgh 19th century. rbbin,matched,Pasteboard (Binding),Scotland Edinburgh 19th century; rbbin,0.6,best-effort mapping to 'Pasteboard' / board-type bindings
572,edge. rbpap,no_match,,edge; rbpap,0,
573,edges (Paper) rbpap,matched,Deckled edges,(Paper); rbpap,0.7,best-effort mapping to 'Deckled edges' (edges paper grouping)
574,edges (Paper). rbpap CaBViV,matched,Deckled edges,"(Paper); rbpap, CaBViV",0.7,
575,edges. rbpap,no_match,,edges; rbpap,0,
576,paper bindings (Binding) rbbin,matched,Paper bindings,(Binding); rbbin,1,
577,papers (Binding) rbbin MMeT,no_match,,"papers (Binding); rbbin, MMeT",0,ambiguous ??? no exact RBMS term 'papers (Binding)'
578,papers. rbpap,matched,Papers,rbpap,0.9,
579,sermons 1769. rbgenr,matched,Sermons,1769; rbgenr,1,
580,sermons 1795. rbgenr,matched,Sermons,1795; rbgenr,1,
581,sermons 1796. rbgenr,matched,Sermons,1796; rbgenr,1,
582,bindings (Binding) rbbin MMeT,matched,Bindings (Provenance),"(Binding); rbbin, MMeT",0.9,
583,rbgenr,no_match,,rbgenr,0,
584,18th century. rbgenr,no_match,,18th century; rbgenr,0,
585,19th century. rbgenr,no_match,,19th century; rbgenr,0,
586,rbgenr,no_match,,rbgenr,0,
587,rbgenr E8W,no_match,,"rbgenr, E8W",0,
588,Biloxi. rbgenr,no_match,,Biloxi; rbgenr,0,
589,English. rbgenr,no_match,,English; rbgenr,0,
590,Greek. rbgenr,no_match,,Greek; rbgenr,0,
591,rbgenr,no_match,,rbgenr,0,
592,rbgenr,no_match,,rbgenr,0,
593,novels. rbgenr,matched,Novels,rbgenr,1,
594,rbgenr,no_match,,rbgenr,0,
595,"Word Missionaries Library (Bay St. Louis, Miss.) rbgenr",no_match,,"Word Missionaries Library (Bay St. Louis, Miss.); rbgenr",0,collection name ??? no RBMS term
596,"Word Missionaries Library (Bay St. Louis, Miss.). rbgenr",no_match,,"Word Missionaries Library (Bay St. Louis, Miss.); rbgenr",0,
597,books England London 1850. rbgenr,matched,Books,England London 1850; rbgenr,0.75,
598,(Publishing) cty-br. rbpub,no_match,,(Publishing) cty-br; rbpub,0,
599,(Publishing) rbpub,no_match,,(Publishing); rbpub,0,
600,(Publishing) United States 20th century. rbpub,no_match,,(Publishing) United States 20th century; rbpub,0,
601,format (Printing) England London 18th century. rbpri,no_match,,(Printing) England London 18th century; rbpri,0,generic 'format' fragment ??? no single RBMS term
602,format (Printing) France Rouen 18th century. rbpri,no_match,,(Printing) France Rouen 18th century; rbpri,0,generic fragment
603,format (Printing) Netherlands Rotterdam 17th century. rbpri,no_match,,(Printing) Netherlands Rotterdam 17th century; rbpri,0,
604,format (Printing) New York New York 18th century. rbpri,no_match,,(Printing) New York New York 18th century; rbpri,0,
605,format (Printing) rbpri,no_match,,(Printing); rbpri,0,
606,format (Printing) Scotland Edinburgh 18th century. rbpri,no_match,,(Printing) Scotland Edinburgh 18th century; rbpri,0,
607,stamps (Provenance) rbprov MMeT,no_match,,"stamps (Provenance); rbprov, MMeT",0,no exact RBMS term 'stamps' as standalone
608,jackets (Bindings) 1993. rbbin,matched,Dust jackets,(Bindings) 1993; rbbin,0.8,mapped to 'Dust jackets' as closest RBMS term
609,jackets Specimens Great Britain 2016. rbbin,matched,Dust jackets,Specimens Great Britain 2016; rbbin,0.8,
610,jackets. rbgenr,matched,Dust jackets,rbgenr,0.9,
611,sermons Connecticut 1732. rbgenr,matched,Sermons,Connecticut 1732; rbgenr,1,
612,sermons Connecticut 1755. rbgenr,matched,Sermons,Connecticut 1755; rbgenr,1,
613,sermons Connecticut 1772. rbgenr,matched,Sermons,Connecticut 1772; rbgenr,1,
614,sermons Connecticut 1776. rbgenr,matched,Sermons,Connecticut 1776; rbgenr,1,
615,sermons Connecticut 1798. rbgenr,matched,Sermons,Connecticut 1798; rbgenr,1,
616,sermons Connecticut New Haven 1776. rbgenr,matched,Sermons,Connecticut New Haven 1776; rbgenr,1,
617,sermons Massachusetts 1689. rbgenr,matched,Sermons,Massachusetts 1689; rbgenr,1,
618,sermons Massachusetts 1712. rbgenr,matched,Sermons,Massachusetts 1712; rbgenr,1,
619,sermons Massachusetts 1766. rbgenr,matched,Sermons,Massachusetts 1766; rbgenr,1,
620,sermons Massachusetts 1774. rbgenr,matched,Sermons,Massachusetts 1774; rbgenr,1,
621,rbgenr,no_match,,rbgenr,0,qualifier only
622,books Belgium Brussels 1683. rbgenr,matched,Books,Belgium Brussels 1683; rbgenr,0.9,
623,books France 16th century. rbgenr,matched,Books,France 16th century; rbgenr,0.9,
624,books Germany 17th century. rbgenr,matched,Books,Germany 17th century; rbgenr,0.9,
625,books. rbgenr,matched,Books,rbgenr,1,
626,books. WaU. rbgenr,matched,Books,"rbgenr, WaU",0.8,
627,cloth bindings. rbgenr,matched,Cloth bindings,rbgenr,1,
628,rbgenr,no_match,,rbgenr,0,
629,England London 19th century. rbgenr,no_match,,England London 19th century; rbgenr,0,
630,21st century. rbgenr,no_match,,21st century; rbgenr,0,
631,fiction United States 19th century. rbgenr,matched,Fiction,United States 19th century; rbgenr,0.9,
632,17th century. rbgenr,no_match,,17th century; rbgenr,0,
633,20th century. rbgenr,no_match,,20th century; rbgenr,0,
634,rbgenr,no_match,,rbgenr,0,
635,lists (Publishing) 19th century. rbpub,matched,Lists (Publishing),19th century; rbpub,1,
636,lists (Publishing) Germany 16th century. rbpub,matched,Lists (Publishing),Germany 16th century; rbpub,1,
637,lists (Publishing) United States 20th century. rbpub,matched,Lists (Publishing),United States 20th century; rbpub,1,
638,lists. rbpri,matched,Lists (Printing),rbpri,0.9,mapped to printing variant of lists
639,slips (Printing) rbpri,matched,Errata slips (Printing),rbpri,0.85,best-effort mapping to 'Errata slips (Printing)'
640,18th century. rbgenr,no_match,,18th century; rbgenr,0,
641,France 20th century. rbgenr,no_match,,France 20th century; rbgenr,0,
642,rbgenr.,no_match,,rbgenr,0,
643,United States 19th century. rbgenr,no_match,,United States 19th century; rbgenr,0,
644,rbgenr,no_match,,rbgenr,0,
645,books. rbgenr,matched,Books,rbgenr,1,
646,rbgenr,no_match,,rbgenr,0,
647,sermons 1674. rbgenr,matched,Sermons,1674; rbgenr,1,
648,sermons 1713. rbgenr,matched,Sermons,1713; rbgenr,1,
649,sermons 1715. rbgenr,matched,Sermons,1715; rbgenr,1,
650,sermons 1768. rbgenr,matched,Sermons,1768; rbgenr,1,
651,sermons 1770. rbgenr,matched,Sermons,1770; rbgenr,1,
652,sermons 1772. rbgenr,matched,Sermons,1772; rbgenr,1,
653,sermons 1773. rbgenr,matched,Sermons,1773; rbgenr,1,
654,sermons 1784. rbgenr,matched,Sermons,1784; rbgenr,1,
655,sermons 1786. rbgenr,matched,Sermons,1786; rbgenr,1,
656,catalogs California Orange County Irvine 21st century. rbgenr,matched,Catalogs,California Orange County Irvine 21st century; rbgenr,0.9,
657,catalogs California San Francisco 21st century. rbgenr,matched,Catalogs,California San Francisco 21st century; rbgenr,0.9,
658,catalogs New York (State) New York 1916. rbgenr,matched,Catalogs,New York (State) New York 1916; rbgenr,1,
659,catalogs. rbgenr,matched,Catalogs,rbgenr,1,
660,catalogues. rbgenr,matched,Catalogs,rbgenr,0.95,
661,literature England London 18th century rbgenr,no_match,,literature England London 18th century; rbgenr,0,
662,literature England London 18th century. rbgenr,no_match,,literature England London 18th century; rbgenr,0,
663,literature. rbgenr,matched,Literature,rbgenr,0.6,
664,rbgenr,no_match,,rbgenr,0,
665,tales Switzerland Zu?rich 1989. rbgenr,matched,Folk tales,Switzerland Zu?rich 1989; rbgenr,0.6,encoding/diacritic issue in place preserved
666,tales. rbgenr,matched,Folk tales,rbgenr,1,
667,imprints (Publishing) rbpub,matched,False imprints (Publishing),rbpub,0.5,ambiguous ??? preserved as publishing imprint qualifier
668,histories. rbgenr,matched,Historical works,rbgenr,0.6,generic mapping to histories
669,literature United States. rbgenr,matched,Literature,United States; rbgenr,0.6,
670,literature. rbgenr,matched,Literature,rbgenr,0.6,
671,day proclamations 1680 Apr. 15. rbgenr,matched,Fast-day proclamations,1680-04-15; rbgenr,0.85,mapped to fast-day proclamations as closest
672,day proclamations 1777 Apr. 3. rbgenr,matched,Fast-day proclamations,1777-04-03; rbgenr,0.85,
673,day proclamations 1777 Jan. 29. rbgenr,matched,Fast-day proclamations,1777-01-29; rbgenr,0.85,
674,day proclamations 1781 May 3. rbgenr,matched,Fast-day proclamations,1781-05-03; rbgenr,0.85,
675,day sermons 1678 Nov. 21. rbgenr,matched,Fast day sermons,1678-11-21; rbgenr,0.85,
676,day sermons 1679 July 3. rbgenr,matched,Fast day sermons,1679-07-03; rbgenr,0.85,
677,day sermons 1703 May 19. rbgenr,matched,Fast day sermons,1703-05-19; rbgenr,0.85,
678,day sermons 1733 Apr. 18. rbgenr,matched,Fast day sermons,1733-04-18; rbgenr,0.85,
679,day sermons 1749 Apr. 27. rbgenr,matched,Fast day sermons,1749-04-27; rbgenr,0.85,
680,day sermons 1775 July 20. rbgenr,matched,Fast day sermons,1775-07-20; rbgenr,0.85,
681,day sermons 1781 Feb. 21. rbgenr,matched,Fast day sermons,1781-02-21; rbgenr,0.85,
682,day sermons 1793 Sept. 20. rbgenr,matched,Fast day sermons,1793-09-20; rbgenr,0.85,
683,day sermons 1798 May 9. rbgenr,matched,Fast day sermons,1798-05-09; rbgenr,0.85,
684,day sermons 1799 Apr. 25. rbgenr,matched,Fast day sermons,1799-04-25; rbgenr,0.85,
685,day sermons. rbgenr,matched,Fast day sermons,rbgenr,0.9,
686,sermons 1854 Apr. 6. rbgenr,matched,Sermons,1854-04-06; rbgenr,1,
687,rbgenr,no_match,,rbgenr,0,
688,1794. rbgenr,no_match,,1794; rbgenr,0,
689,1854. rbgenr,no_match,,1854; rbgenr,0,
690,England 19th century. rbgenr,no_match,,England 19th century; rbgenr,0,
691,English 19th century. rbgenr,no_match,,English 19th century; rbgenr,0,
692,rbgenr,no_match,,rbgenr,0,
693,rbgenr,no_match,,rbgenr,0,
694,imprints (Printing) rbpri,no_match,,imprints (Printing); rbpri,0,qualifier-like ??? no single RBMS term
695,tools (Binding) 18th century. rbbin MMeT,no_match,,"tools (Binding) 18th century; rbbin, MMeT",0,no exact RBMS term 'tools (Binding)'
696,tools (Binding) rbbin MMeT,no_match,,"tools (Binding); rbbin, MMeT",0,
697,format (Printing) England 17th century. rbpri,no_match,,(Printing) England 17th century; rbpri,0,
698,format (Printing) England Bath 18th century. rbpri,no_match,,(Printing) England Bath 18th century; rbpri,0,
699,format (Printing) England London 17th century. rbbin MMeT rbpri,no_match,,"(Printing) England London 17th century; rbbin MMeT, rbpri",0,
700,format (Printing) England London 17th century. rbpri,no_match,,(Printing) England London 17th century; rbpri,0,
701,format (Printing) rbpri,no_match,,(Printing); rbpri,0,
702,format (Printing) Switzerland Basel 16th century. rbpri,no_match,,(Printing) Switzerland Basel 16th century; rbpri,0,
703,tales 1965. rbgenr,matched,Folk tales,1965; rbgenr,1,
704,tales 1975. rbgenr,matched,Folk tales,1975; rbgenr,1,
705,tales 1988. rbgenr,matched,Folk tales,1988; rbgenr,1,
706,tales 1990. rbgenr,matched,Folk tales,1990; rbgenr,1,
707,tales 1993. rbgenr,matched,Folk tales,1993; rbgenr,1,
708,tales. rbgenr,matched,Folk tales,rbgenr,1,
709,rbgenr,no_match,,rbgenr,0,
710,of July addresses 1787. rbgenr,matched,Fourth of July addresses,1787; rbgenr,1,
711,of July addresses 1792. rbgenr,matched,Fourth of July addresses,1792; rbgenr,1,
712,of July addresses 1794. rbgenr,matched,Fourth of July addresses,1794; rbgenr,1,
713,of July addresses 1797. rbgenr,matched,Fourth of July addresses,1797; rbgenr,1,
714,of July addresses 1798. rbgenr,matched,Fourth of July addresses,1798; rbgenr,1,
715,of July addresses 1799. rbgenr,matched,Fourth of July addresses,1799; rbgenr,1,
716,of July addresses 1825. rbgenr,matched,Fourth of July addresses,1825; rbgenr,1,
717,of July addresses 1844. rbgenr,matched,Fourth of July addresses,1844; rbgenr,1,
718,of July addresses 1860. rbgenr,matched,Fourth of July addresses,1860; rbgenr,1,
719,of July addresses 1863. rbgenr,matched,Fourth of July addresses,1863; rbgenr,1,
720,of July addresses 1864. rbgenr,matched,Fourth of July addresses,1864; rbgenr,1,
721,of July addresses 1870. rbgenr,matched,Fourth of July addresses,1870; rbgenr,1,
722,of July addresses 1876. rbgenr,matched,Fourth of July addresses,1876; rbgenr,1,
723,of July orations 1788. rbgenr,matched,Orations,1788; rbgenr,0.85,mapped to Orations (Fourth of July orations variant)
724,of July orations 1796. rbgenr,matched,Orations,1796; rbgenr,0.85,
725,of July orations 1799. rbgenr,matched,Orations,1799; rbgenr,0.85,
726,of July sermons 1790. rbgenr,matched,Fourth of July sermons,1790; rbgenr,0.85,
727,rbpap,no_match,,rbpap,0,paper qualifier only
728,addresses 1750. rbgenr,no_match,,addresses 1750; rbgenr,0,
729,addresses 1776. rbgenr,no_match,,addresses 1776; rbgenr,0,
730,addresses 1799. rbgenr,no_match,,addresses 1799; rbgenr,0,
731,addresses 1800. rbgenr,no_match,,addresses 1800; rbgenr,0,
732,books Italy 17th century. rbgenr,matched,Books,Italy 17th century; rbgenr,0.9,
733,books. rbgenr CtHT,matched,Books,"rbgenr, CtHT",0.85,
734,sermons 1705. rbgenr,matched,Sermons,1705; rbgenr,1,
735,sermons 1708. rbgenr,matched,Sermons,1708; rbgenr,1,
736,sermons 1713. rbgenr,matched,Sermons,1713; rbgenr,1,
737,sermons 1724. rbgenr,matched,Sermons,1724; rbgenr,1,
738,sermons 1727. rbgenr,matched,Sermons,1727; rbgenr,1,
739,sermons 1733. rbgenr,matched,Sermons,1733; rbgenr,1,
740,sermons 1737. rbgenr,matched,Sermons,1737; rbgenr,1,
741,sermons 1739. rbgenr,matched,Sermons,1739; rbgenr,1,
742,sermons 1746. rbgenr,matched,Sermons,1746; rbgenr,1,
743,sermons 1756. rbgenr,matched,Sermons,1756; rbgenr,1,
744,sermons 1767. rbgenr,matched,Sermons,1767; rbgenr,1,
745,sermons 1770. rbgenr,matched,Sermons,1770; rbgenr,1,
746,sermons 1771. rbgenr,matched,Sermons,1771; rbgenr,1,
747,sermons 1776. rbgenr,matched,Sermons,1776; rbgenr,1,
748,sermons 1784. rbgenr,matched,Sermons,1784; rbgenr,1,
749,sermons 1791. rbgenr,matched,Sermons,1791; rbgenr,1,
750,sermons 1793. rbgenr,matched,Sermons,1793; rbgenr,1,
751,sermons 1795. rbgenr,matched,Sermons,1795; rbgenr,1,
752,sermons 1799. rbgenr,matched,Sermons,1799; rbgenr,1,
753,sermons 1800. rbgenr,matched,Sermons,1800; rbgenr,1,
754,proofs (Printing) United States 21st century. rbpri,matched,Proofs,(Printing) United States 21st century; rbpri,0.95,
755,edges (Binding) 16th century. rbbin MMeT,matched,Gauffered edges,"(Binding) 16th century; rbbin, MMeT",0.65,best-effort mapping to an edge treatment term
756,edges (Binding) 18th century. rbbin MMeT,matched,Gauffered edges,"(Binding) 18th century; rbbin, MMeT",0.65,
757,edges (Binding) rbbin MMeT,matched,Decorated edges,"(Binding); rbbin, MMeT",0.6,edge-binding mapping (approximate)
758,rbgenr,no_match,,rbgenr,0,
759,England London 17th century. rbgenr,no_match,,England London 17th century; rbgenr,0,
760,rbgenr,no_match,,rbgenr,0,
761,books 1829. rbgenr,matched,Books,1829; rbgenr,0.75,
762,books 1847. rbgenr,matched,Books,1847; rbgenr,0.75,
763,books 1855. rbgenr,matched,Books,1855; rbgenr,0.75,
764,books 1856. rbgenr,matched,Books,1856; rbgenr,0.75,
765,books 1882. rbgenr,matched,Books,1882; rbgenr,0.75,
766,books England London 19th century. rbgenr,matched,Books,England London 19th century; rbgenr,0.75,
767,books Pennsylvania Philadelphia 19th century. rbgenr,matched,Books,Pennsylvania Philadelphia 19th century; rbgenr,0.75,
768,books United States. rbgenr,matched,Books,United States; rbgenr,0.75,
769,books. rbgenr,matched,Books,rbgenr,1,
770,rbgenr,no_match,,rbgenr,0,
771,bindings (Binding) 17th century. rbbin MMeT,matched,Bindings (Provenance),"(Binding) 17th century; rbbin, MMeT",0.8,
772,bindings (Binding) rbbin,matched,Bindings (Provenance),(Binding); rbbin,0.9,
773,bindings (Binding) rbbin MMeT,matched,Bindings (Provenance),"(Binding); rbbin, MMeT",0.9,
774,toold bindings (Bindings). rbbin MMeT,matched,Gold tooled bindings,"(Bindings); rbbin, MMeT",0.7,typo 'toold' ??? 'tooled' assumed
775,tooled bindings (Binding) England 17th century. rbbin MMeT,matched,Gold tooled bindings,"(Binding) England 17th century; rbbin, MMeT",0.9,
776,tooled bindings (Binding) rbprov MMeT,matched,Gold tooled bindings,"rbprov, MMeT",0.7,ambiguous provenance qualifier present
777,rbgenr,no_match,,rbgenr,0,
778,style bindings England 16th century. rbbin MMeT,no_match,,"style bindings England 16th century; rbbin, MMeT",0,no direct RBMS term 'style bindings' (ambiguous)
779,20th century. rbgenr,no_match,,20th century; rbgenr,0,
780,rbgenr,no_match,,rbgenr,0,
781,bindings (Binding) 19th century. rbbin MMeT,matched,Bindings (Provenance),"(Binding) 19th century; rbbin, MMeT",0.8,
782,bindings (Binding) rbbin,matched,Bindings (Provenance),(Binding); rbbin,0.9,
783,bindings (Binding) rbbin MMeT,matched,Bindings (Provenance),"(Binding); rbbin, MMeT",0.9,
784,bindings (Bindings) Italy 16th century. rbbin MMeT,matched,Bindings (Provenance),"(Bindings) Italy 16th century; rbbin, MMeT",0.8,
785,bindings (Bindings) rbbin,matched,Bindings (Provenance),(Bindings); rbbin,0.85,
786,paper printings (Printing) New York (N.Y.) 20th century. rbpri,matched,Paper printings,New York (N.Y.) 20th century; rbpri,0.9,
787,papers (Paper) 21st century. rbpap,matched,Papers,21st century; rbpap,0.9,
788,papers (Paper) England 19th century. rbpap,matched,Papers,England 19th century; rbpap,0.9,
789,papers (Paper) United States 21st century. rbpap,matched,Papers,United States 21st century; rbpap,0.9,
790,England London 1815. rbgenr,no_match,,England London 1815; rbgenr,0,
791,rbgenr,no_match,,rbgenr,0,
792,fiction. rbgenr,matched,Fiction,rbgenr,1,
793,works. rbgenr,no_match,,works; rbgenr,0,ambiguous ??? no single RBMS term
794,rbgenr,no_match,,rbgenr,0,
795,rbgenr,no_match,,rbgenr,0,
796,works Connecticut New Haven 21st century. rbgenr,no_match,,works Connecticut New Haven 21st century; rbgenr,0,
797,works England 19th century. rbgenr,no_match,,works England 19th century; rbgenr,0,
798,works England 20th century. rbgenr,no_match,,works England 20th century; rbgenr,0,
799,works England Berkshire 20th century. rbgenr,no_match,,works England Berkshire 20th century; rbgenr,0,
800,works England London 19th century. rbgenr,no_match,,works England London 19th century; rbgenr,0,
801,works. rbgenr,no_match,,rbgenr,0,ambiguous ??? 'works' alone
802,works. rbgenr,no_match,,rbgenr,0,ambiguous ??? duplicate
803,voyages 1988. rbgenr,matched,Imaginary voyages,1988; rbgenr,0.7,best-effort mapping to voyages/imaginary voyages
804,voyages. rbgenr,matched,Imaginary voyages,rbgenr,0.6,generic mapping to voyages
805,(Printing) rbpri,no_match,,rbpri,0,qualifier-only
806,rbgenr,no_match,,rbgenr,0,qualifier-only
807,rbgenr,no_match,,rbgenr,0,
808,stamps (Provenance) rbprov MMeT,no_match,,"stamps (Provenance); rbprov, MMeT",0,no exact RBMS term 'stamps' as standalone
809,(Provenance) rbprov,no_match,,(Provenance); rbprov,0,qualifier-only
810,(Provenance) rbprov MMeT,no_match,,"(Provenance); rbprov, MMeT",0,qualifier-only
811,rbgenr,no_match,,rbgenr,0,
812,sermons 1776. rbgenr,matched,Sermons,1776; rbgenr,1,
813,errata lists (Printing) rbpri,matched,Errata lists,(Printing); rbpri,1,
814,rbgenr,no_match,,rbgenr,0,
815,literature 1702. rbgenr,matched,Literature,1702; rbgenr,0.6,
816,literature 1728. rbgenr,matched,Literature,1728; rbgenr,0.6,
817,literature 1749. rbgenr,matched,Literature,1749; rbgenr,0.6,
818,literature 1761. rbgenr,matched,Literature,1761; rbgenr,0.6,
819,literature 1767. rbgenr,matched,Literature,1767; rbgenr,0.6,
820,literature 1768. rbgenr,matched,Literature,1768; rbgenr,0.6,
821,literature 1771. rbgenr,matched,Literature,1771; rbgenr,0.6,
822,literature 1773. rbgenr,matched,Literature,1773; rbgenr,0.6,
823,literature 1774. rbgenr,matched,Literature,1774; rbgenr,0.6,
824,literature 1776. rbgenr,matched,Literature,1776; rbgenr,0.6,
825,literature 1784. rbgenr,matched,Literature,1784; rbgenr,0.6,
826,literature 1786. rbgenr,matched,Literature,1786; rbgenr,0.6,
827,literature 1787. rbgenr,matched,Literature,1787; rbgenr,0.6,
828,literature 1788. rbgenr,matched,Literature,1788; rbgenr,0.6,
829,literature 1790. rbgenr,matched,Literature,1790; rbgenr,0.6,
830,literature 1791. rbgenr,matched,Literature,1791; rbgenr,0.6,
831,literature 1792. rbgenr,matched,Literature,1792; rbgenr,0.6,
832,literature 1793. rbgenr,matched,Literature,1793; rbgenr,0.6,
833,literature 1794. rbgenr,matched,Literature,1794; rbgenr,0.6,
834,literature 1795. rbgenr,matched,Literature,1795; rbgenr,0.6,
835,literature 1796. rbgenr,matched,Literature,1796; rbgenr,0.6,
836,literature 1797. rbgenr,matched,Literature,1797; rbgenr,0.6,
837,literature 1798. rbgenr,matched,Literature,1798; rbgenr,0.6,
838,literature 1799. rbgenr,matched,Literature,1799; rbgenr,0.6,
839,literature 1800. rbgenr,matched,Literature,1800; rbgenr,0.6,
840,literature 1804. rbgenr,matched,Literature,1804; rbgenr,0.6,
841,literature 1807. rbgenr,matched,Literature,1807; rbgenr,0.6,
842,literature 1808. rbgenr,matched,Literature,1808; rbgenr,0.6,
843,literature 1836. rbgenr,matched,Literature,1836; rbgenr,0.6,
844,literature 1849. rbgenr,matched,Literature,1849; rbgenr,0.6,
845,literature 1850. rbgenr,matched,Literature,1850; rbgenr,0.6,
846,literature 1852. rbgenr,matched,Literature,1852; rbgenr,0.6,
847,literature 1856. rbgenr,matched,Literature,1856; rbgenr,0.6,
848,literature 1872. rbgenr,matched,Literature,1872; rbgenr,0.6,
849,literature 1875. rbgenr,matched,Literature,1875; rbgenr,0.6,
850,literature 1883. rbgenr,matched,Literature,1883; rbgenr,0.6,
851,literature 1890. rbgenr,matched,Literature,1890; rbgenr,0.6,
852,literature 1908. rbgenr,matched,Literature,1908; rbgenr,0.6,
853,literature 1928. rbgenr,matched,Literature,1928; rbgenr,0.6,
854,literature 1933. rbgenr,matched,Literature,1933; rbgenr,0.6,
855,literature 1934. rbgenr,matched,Literature,1934; rbgenr,0.6,
856,literature 1938. rbgenr,matched,Literature,1938; rbgenr,0.6,
857,literature 1951. rbgenr,matched,Literature,1951; rbgenr,0.6,
858,literature 1958. rbgenr,matched,Literature,1958; rbgenr,0.6,
859,literature 1969. rbgenr,matched,Literature,1969; rbgenr,0.6,
860,literature 1973. rbgenr,matched,Literature,1973; rbgenr,0.6,
861,literature 1975. rbgenr,matched,Literature,1975; rbgenr,0.6,
862,literature 1977. rbgenr,matched,Literature,1977; rbgenr,0.6,
863,literature 1984. rbgenr,matched,Literature,1984; rbgenr,0.6,
864,literature 1986. rbgenr,matched,Literature,1986; rbgenr,0.6,
865,literature 1998. rbgenr,matched,Literature,1998; rbgenr,0.6,
866,literature 19th century. rbgenr,no_match,,19th century; rbgenr,0,qualifier-only
867,literature Massachusetts Boston 1907. rbgenr,matched,Literature,Massachusetts Boston 1907; rbgenr,0.6,
868,literature New York New York 1944. rbgenr,matched,Literature,New York New York 1944; rbgenr,0.6,
869,literature Periodicals. rbgenr,matched,Periodicals,rbgenr,0.7,
870,literature United States 19th century. rbgenr,no_match,,United States 19th century; rbgenr,0,qualifier-only
871,literature United States. rbgenr CtHT,no_match,,"United States; rbgenr, CtHT",0,
872,literature. rbgenr,matched,Literature,rbgenr,0.6,
873,papers (Paper) rbpap,matched,Papers,rbpap,1,
874,rbgenr,no_match,,rbgenr,0,
